budget,dimension,margin,margin_name,rho,signal,unit_id,seed,replications,truth_theta,truth_topk_changed,theory_independent_vector_mse,theory_paired_vector_mse,theory_mse_difference,empirical_independent_vector_mse,empirical_paired_vector_mse,empirical_mse_difference,difference_mcse,difference_ci95_low,difference_ci95_high,empirical_relative_reduction,identity_relative_error,zero_normalized_identity_error,expected_sign,empirical_sign,sign_match,paired_plugin_bias,independent_plugin_bias,paired_split_bias,independent_split_bias,paired_split_mse,independent_split_mse,paired_topk_disagreement,independent_topk_disagreement,paired_topk_condition_error,independent_topk_condition_error,paired_margin_bound_violation,independent_margin_bound_violation
16,8,0.05,near_tie,-0.75,null,p08_b016_rhom0d75_null_near_tie,3933586967,8000,0.0,False,1.0,1.75,-0.75,1.008761300081601,1.7567347700677334,-0.7479734699861325,0.011288261336363561,-0.770098462205405,-0.7258484777668599,-0.741477166030881,0.0027020400184900595,,-1,-1,True,1.7567347700677334,1.008761300081601,-0.002545812019366388,-0.0008360132938530053,1.5052430377957327,0.4953472805233698,0.771,0.523125,0.834625,0.713,0.0,0.0
16,8,0.5,separated,-0.75,null,p08_b016_rhom0d75_null_separated,1553662934,8000,0.0,False,1.0,1.75,-0.75,0.9820223964183326,1.7540583742378846,-0.772035977819552,0.01120649644148901,-0.7940007108448704,-0.7500712447942336,-0.7861694200003477,0.029381303759402694,,-1,-1,True,1.7540583742378844,0.9820223964183326,0.0077408169627438085,0.00374191817998812,1.5108408168624703,0.5061731336374042,0.185375,0.15975,0.185375,0.164875,0.0,0.0
16,8,0.05,near_tie,-0.75,weak,p08_b016_rhom0d75_weak_near_tie,3075166674,8000,0.009999999999999995,True,1.0,1.75,-0.75,0.9990154073688402,1.7400617022973532,-0.741046294928513,0.011308530451746781,-0.7632110146139367,-0.7188815752430894,-0.7417766427449262,0.011938273428649282,,-1,-1,True,1.7421719560122182,1.000016284369997,-0.005976612510782913,-0.004615853531247078,1.4832048872303998,0.5011825427283289,0.7965,0.546375,0.577375,0.70475,0.0,0.0
16,8,0.5,separated,-0.75,weak,p08_b016_rhom0d75_weak_separated,2702001516,8000,0.30250000000000005,True,1.0,1.75,-0.75,0.9990069106928978,1.7427256199162269,-0.743718709223329,0.011226886261452523,-0.765723406295776,-0.7217140121508822,-0.7444580225250852,0.008375054368894594,,-1,-1,True,1.7414491894337518,0.9852620609257556,0.024903269111815396,0.014999482961762456,1.7908405441498563,0.67269575915965,0.69,0.60125,0.50475,0.557,0.0,0.0
16,8,0.05,near_tie,-0.75,moderate,p08_b016_rhom0d75_moderate_near_tie,2628799120,8000,0.30249999999999994,True,1.0,1.75,-0.75,1.0005129037310863,1.7488275117596555,-0.7483146080285692,0.011211602784519813,-0.7702893494862281,-0.7263398665709103,-0.7479309914324683,0.0022471892952410735,,-1,-1,True,1.7443588552636788,1.0038391960272592,-0.00707129221220143,0.0050453520403248575,1.783069386502121,0.6630821131370969,0.678875,0.590125,0.477375,0.532125,0.0,0.0
16,8,0.5,separated,-0.75,moderate,p08_b016_rhom0d75_moderate_separated,1204124243,8000,1.0,True,1.0,1.75,-0.75,1.0002001553138222,1.741568662155744,-0.7413685068419218,0.01127624016838951,-0.7634699375719652,-0.7192670761118783,-0.7412201476906495,0.011508657544104276,,-1,-1,True,1.7398933326642063,0.9921068727692861,-0.003822740711636907,-0.01785668714609967,2.466625875714437,1.0182382988345338,0.955,0.896875,0.282375,0.32425,0.0,0.0
16,8,0.05,near_tie,-0.25,null,p08_b016_rhom0d25_null_near_tie,2244808823,8000,0.0,False,1.0,1.25,-0.25,0.9934552177192197,1.246813552650494,-0.25335833493127424,0.008844709574072764,-0.2706939656964569,-0.2360227041660916,-0.25502743396218275,0.013433339725096971,,-1,-1,True,1.246813552650494,0.9934552177192197,-0.0064782596222994595,0.0009275928270694689,0.7729908331172601,0.49748909285040593,0.5915,0.53175,0.746875,0.7195,0.0,0.0
16,8,0.5,separated,-0.25,null,p08_b016_rhom0d25_null_separated,693693549,8000,0.0,False,1.0,1.25,-0.25,1.0050588507020126,1.2630577209248697,-0.25799887022285706,0.009080878630324146,-0.27579739233829237,-0.24020034810742175,-0.2567002619226231,0.03199548089142823,,-1,-1,True,1.2630577209248697,1.0050588507020128,0.0025914358536511433,0.007409101707280083,0.7906642644690604,0.49591968143838355,0.17675,0.168625,0.17875,0.174,0.0,0.0
16,8,0.05,near_tie,-0.25,weak,p08_b016_rhom0d25_weak_near_tie,2496059208,8000,0.009999999999999995,True,1.0,1.25,-0.25,0.991463122572481,1.2552928677910586,-0.2638297452185776,0.00893428896344402,-0.2813409515869279,-0.24631853885022734,-0.26610142042806073,0.05531898087431042,,-1,-1,True,1.2539540946707055,0.9908022586063661,0.0034727430217775367,-0.01107441318222633,0.7625561485785282,0.5009161456959967,0.614875,0.531625,0.67675,0.710875,0.0,0.0
16,8,0.5,separated,-0.25,weak,p08_b016_rhom0d25_weak_separated,1286828145,8000,0.30250000000000005,True,1.0,1.25,-0.25,0.9973838319462932,1.2524995783026875,-0.25511574635639434,0.008752945383715958,-0.2722715193084776,-0.23795997340431105,-0.25578492269978126,0.02046298542557734,,-1,-1,True,1.2464062680684114,1.0003544203214754,-0.008099080353310306,0.00534945498499978,0.9494691568997088,0.6507099889047236,0.63775,0.605,0.537,0.55,0.0,0.0
