budget_per_side,dataset,draw,estimate_l2,estimate_sha256,far,instance_index,instance_position,method,model,normalized_vector_mse,phase,query_total,runtime_sec,scenario,seed,severity,squared_drift_error,target_l2,target_sha256,topk_overlap,vector_mse,clean_mask_sha256,shifted_mask_sha256
256,adult,0,0.8500515800399839,24A3F9947304E5703AAC58DDE19A392A2F82A3836D54846AFC0A385E0DCC6B46,1,1088,0,glime_independent,hgb,0.004911599186418429,full,512,0.05120410001836717,mean_shift,0,1.0,0.0022286427758659946,0.8218145688126862,3955575F7BB35B2DCEAE7435474B62BAB8AB123EA9CD98499EEA78697B55C456,0.8,0.00012742642921303714,,
256,adult,0,0.8416984245040173,0C1100DC2DA1B1A2905722E1DBBA76FB2B02CB89C325FBE08F1C8D7CA12C3A9F,1,1088,0,kernelshap_independent,hgb,0.04163479137163963,full,516,0.08045629994012415,mean_shift,0,1.0,0.005647408425879879,0.7958058788376469,2ADC24A53E1BC434490C4624A6913240394C8BBE7E4FFE0818CA3CB658448421,0.8,0.001067172094941429,BA03389E36FFC559598EACD56269841DD4EF7507C9E5F59D8AB1B7C5AE9C3AA4,7B11636EEB3C08292391DA2D8674AB4698ACE48475123F50775401DF3BBA8BC8
256,adult,0,0.7695689935683091,0288DE9F4EA6052909E89F84701790289D5A40251C4C593CD8603DCDF8C4F6E5,1,1088,0,kernelshap_paired,hgb,0.014178324395362476,full,516,0.09851939999498427,mean_shift,0,1.0,0.0016867909751721397,0.7958058788376469,2ADC24A53E1BC434490C4624A6913240394C8BBE7E4FFE0818CA3CB658448421,0.8,0.0003634151066760173,2B8D8ABA070C47F93FD279282C0F4E81810ED3B90A419175687D4BACB2F1DA3A,2B8D8ABA070C47F93FD279282C0F4E81810ED3B90A419175687D4BACB2F1DA3A
256,adult,0,0.8145223607370646,089374669C37679DAE3788C9A9E8DE6D69E0182BA120EC2809DAA33D740F9D05,1,1088,0,lime_independent,hgb,0.010967694073433742,full,512,0.058278500102460384,mean_shift,0,1.0,0.00014238477991526487,0.8218145688126862,3955575F7BB35B2DCEAE7435474B62BAB8AB123EA9CD98499EEA78697B55C456,1.0,0.0002845456315619622,,
256,adult,0,0.8520863144485812,27FA7F5539D32F3CDBC3E0BA861E12E1C90E8967C1290E7CE6B167551478F8FB,1,1088,0,lime_paired,hgb,0.011914571935210463,full,512,0.06083119986578822,mean_shift,0,1.0,0.0025676416277506165,0.8218145688126862,3955575F7BB35B2DCEAE7435474B62BAB8AB123EA9CD98499EEA78697B55C456,0.8,0.0003091114115141874,,
1904,adult,0,0.8274587723717967,7A616E050A68E08CE0660B16485104DAC6646858B5C09B47743F3E84B08FEBB1,1,1088,0,lime_paired_slime_budget,hgb,0.0002941420840394023,full,3808,0.18147849990054965,mean_shift,0,1.0,8.665439904575004e-05,0.8218145688126862,3955575F7BB35B2DCEAE7435474B62BAB8AB123EA9CD98499EEA78697B55C456,1.0,7.631216234839769e-06,,
-1,adult,0,0.8173194828442429,3EB452795F1248A427D2E3DAAA82821E82752CAEFCEFC97D4A6C3101A97CDA73,1,1088,0,slime_independent,hgb,0.00220325617757307,full,3809,0.3848942001350224,mean_shift,0,1.0,5.428813834469459e-05,0.8218145688126862,3955575F7BB35B2DCEAE7435474B62BAB8AB123EA9CD98499EEA78697B55C456,1.0,5.716123337711289e-05,,
256,adult,1,0.8162060077991806,58EA71249E80156BB22F946D18031D8FC6E9A7DC76B23D3EF7642F20F0B28094,1,1088,0,glime_independent,hgb,0.009229707000190667,full,512,0.054631900042295456,mean_shift,0,1.0,8.439983616044019e-05,0.8218145688126862,3955575F7BB35B2DCEAE7435474B62BAB8AB123EA9CD98499EEA78697B55C456,0.8,0.00023945533034720116,,
256,adult,1,0.8111501370620857,26A7D6D620A4E0CD2A989E5D994A08EF8818C563693C480735E6A070AF737340,1,1088,0,kernelshap_independent,hgb,0.06698272967490833,full,516,0.08434049994684756,mean_shift,0,1.0,0.0006079946764930136,0.7958058788376469,2ADC24A53E1BC434490C4624A6913240394C8BBE7E4FFE0818CA3CB658448421,0.6,0.0017168838271340251,C6A6265C1F3058493FF52A1C9021C8CC26E444190C2ABF0139F646F22668E268,45532A844233901AD3BD7615700333364E38EF6C330CF0539C1EE653D97A8058
256,adult,1,0.7871658057581399,B3919E99E71B208E87B044D4A9143414252095E8C24BE659848B2266C3262D2C,1,1088,0,kernelshap_paired,hgb,0.023467709713152155,full,516,0.07542910007759929,mean_shift,0,1.0,0.00018706008384526638,0.7958058788376469,2ADC24A53E1BC434490C4624A6913240394C8BBE7E4FFE0818CA3CB658448421,0.8,0.000601518204198837,BE1B11BFD4F69A20F3FE5C477A3400966D7C125C614ECBC784F78D60C8D98EFE,BE1B11BFD4F69A20F3FE5C477A3400966D7C125C614ECBC784F78D60C8D98EFE
