budget_per_side,dataset,draw,estimate_l2,estimate_sha256,far,instance_index,instance_position,method,model,normalized_vector_mse,phase,query_total,runtime_sec,scenario,seed,severity,squared_drift_error,target_l2,target_sha256,topk_overlap,vector_mse,clean_mask_sha256,shifted_mask_sha256
96,electricity,0,0.4766920143471382,078841E94AAC56BFBFB64B758961BE99614B8B7A289B9BDF92944EE1431FF86C,1,2900,0,glime_independent,logreg,0.0003837802443621015,smoke,192,0.024531800067052245,mean_shift,0,1.0,8.106140140468544e-07,0.475746713586167,A033FEB710B3A505611CA4F6DCCB629DE7EA91515A666AD136BE53E37D2146FB,0.8,8.041104680895479e-06,,
96,electricity,0,0.4777972022746586,0165A55AEA13AF195F5A49B9C8560F01147AE558A2155FBC5D7617E747BB67EC,1,2900,0,kernelshap_independent,logreg,0.00044277336131156854,smoke,196,0.03694839985109866,mean_shift,0,1.0,3.530018814025643e-08,0.47799377605200644,5EAFD427F46F45BD329B779D783718814018C4930A99623289A9D3CA56CFF705,0.8,9.3594476455204e-06,0CE890B92DC5358365B6B2243155C49ABF200396B03E38E7A40D1536CDA3EF7E,AC29F76B367E4904651ABA54A78C8C8266E42F57352E39CF449AFABCC53BE03A
96,electricity,0,0.4752249209663951,52706A6ADD66C4678CBCE25FD63BF7CEDBF04C45BD8242FADCBD45F4F6A486D5,1,2900,0,kernelshap_paired,logreg,0.0023106909101385095,smoke,196,0.035445200046524405,mean_shift,0,1.0,6.966033483424161e-06,0.47799377605200644,5EAFD427F46F45BD329B779D783718814018C4930A99623289A9D3CA56CFF705,0.8,4.8843928944503575e-05,A6F3433608EF15F6F49A3015AD13788BE6B040A94F7B4EC175A5BAFF79CDAFC6,A6F3433608EF15F6F49A3015AD13788BE6B040A94F7B4EC175A5BAFF79CDAFC6
96,electricity,0,0.4839645270358115,782A9A5BC0F65C75CBD37745E28C2ECE10B5709E005FB0184C6CB10D7D8C18C7,1,2900,0,lime_independent,logreg,0.00141291222347786,smoke,192,0.033074399922043085,mean_shift,0,1.0,6.220047761469268e-05,0.475746713586167,A033FEB710B3A505611CA4F6DCCB629DE7EA91515A666AD136BE53E37D2146FB,0.6,2.9603856010844213e-05,,
96,electricity,0,0.4788439856417359,7995BBF251F96F28344DB8A86CFDDF51C7B350AED05022BB1885120C61B02217,1,2900,0,lime_paired,logreg,0.0003066031799818827,smoke,192,0.028348800027742982,mean_shift,0,1.0,8.741643792042805e-06,0.475746713586167,A033FEB710B3A505611CA4F6DCCB629DE7EA91515A666AD136BE53E37D2146FB,0.6,6.424062473115718e-06,,
256,electricity,0,0.47587306705694077,4CA6A484CAAD995F15396CE2378AAEB3CD2D34F1A440758971A193C64815225A,1,2900,0,lime_paired_slime_budget,logreg,0.0002355961382706882,smoke,512,0.03388580004684627,mean_shift,0,1.0,1.4457768735944593e-08,0.475746713586167,A033FEB710B3A505611CA4F6DCCB629DE7EA91515A666AD136BE53E37D2146FB,0.8,4.936296847166237e-06,,
-1,electricity,0,0.47300816256565004,27A39FD000BDFA0543BA332CCE6B827AD1622BA28D45A53AA71E9C76985E1A7C,1,2900,0,slime_independent,logreg,0.0002555778423435357,smoke,512,0.06381920003332198,mean_shift,0,1.0,6.750714089493658e-06,0.475746713586167,A033FEB710B3A505611CA4F6DCCB629DE7EA91515A666AD136BE53E37D2146FB,0.6,5.35496085218689e-06,,
96,electricity,1,0.47385611358962115,77781C05B826CC535CED9B476E6B7A6252E7C69CE420BD5115A003793368EA27,1,2900,0,glime_independent,logreg,0.0006286171309730292,smoke,192,0.02673389995470643,mean_shift,0,1.0,3.223170677210532e-06,0.475746713586167,A033FEB710B3A505611CA4F6DCCB629DE7EA91515A666AD136BE53E37D2146FB,0.6,1.3171017082341182e-05,,
96,electricity,1,0.47921010844918666,7489C5FE6FE260F15F006E056AEE7A70A87FCE4E03057207F624D00CB8C6D268,1,2900,0,kernelshap_independent,logreg,0.0008123917782875644,smoke,196,0.03738000011071563,mean_shift,0,1.0,1.3555434834878042e-06,0.47799377605200644,5EAFD427F46F45BD329B779D783718814018C4930A99623289A9D3CA56CFF705,0.8,1.7172528839609336e-05,884D8A39B62A0C635F616EDF56071005353D9DF7728B3DBA0C60586334449DEB,76CEA208C1146BCDECC980E489632FF8FC8CA3D8CE7235CB8B898D17D48B33BD
96,electricity,1,0.4753834771340697,A1A48F820592FEC3CE18920506B24F4DED9FE631E656C888410F7AFAB5501A07,1,2900,0,kernelshap_paired,logreg,0.00038189188117203365,smoke,196,0.0377550998236984,mean_shift,0,1.0,6.19312803072346e-06,0.47799377605200644,5EAFD427F46F45BD329B779D783718814018C4930A99623289A9D3CA56CFF705,1.0,8.072520572356211e-06,029B98238BD5C1B5ADC5545A6A3E5D9D0F2F93795639120607D9817652D78080,029B98238BD5C1B5ADC5545A6A3E5D9D0F2F93795639120607D9817652D78080
96,electricity,1,0.4763184328965722,C159BE1A5408782F0C3FD6AC91FB91F3801DF82584CDE1D9252C18DE63CC07C3,1,2900,0,lime_independent,logreg,0.00038952722684683794,smoke,192,0.03441110020503402,mean_shift,0,1.0,2.962777621749008e-07,0.475746713586167,A033FEB710B3A505611CA4F6DCCB629DE7EA91515A666AD136BE53E37D2146FB,0.8,8.161517569359423e-06,,
96,electricity,1,0.4733085038760801,9C6441C3870D5FFA792D26D3FF29C5DFBFFE100101E73478BB8C2796273D11A7,1,2900,0,lime_paired,logreg,0.00015070575352187283,smoke,192,0.03599600004963577,mean_shift,0,1.0,5.354575852599914e-06,0.475746713586167,A033FEB710B3A505611CA4F6DCCB629DE7EA91515A666AD136BE53E37D2146FB,1.0,3.157642317146541e-06,,
96,electricity,0,0.49203379201932146,DCB53411D13CE3044441E399AB856677C9C32010EB21974981103CB4B3ED7768,1,12421,1,glime_independent,logreg,0.0025255680108491256,smoke,192,0.028101899893954396,mean_shift,0,1.0,0.00013395690864918643,0.4801283963677329,4654B464A884B4AC5B292096B9C4FF5FAF73481700B5C3C7B615B48B6EC5BE2B,1.0,2.8562960850265572e-05,,
96,electricity,0,0.4568416285492466,E5321DD78E990BE3C075136D22CBA39AB269D80E43BA1BFC94899C232EDE4907,1,12421,1,kernelshap_independent,logreg,0.006301763748297638,smoke,196,0.04046669998206198,mean_shift,0,1.0,0.00012801562249594196,0.4690614804870982,F5875F66A14021F082A40B9D5AF45091575DACEB892B542B8B561A8B2D306FCE,1.0,6.814066705552901e-05,7E2A9A98FB80F4D9C62719FF83D204A0D2C35ECC2BF474DE6B8CB9E722116EF3,E93468AD9FA4DDE4FFDE29CD5C28E9B633739BB7C18A7547F3D0BDCC9F87F093
96,electricity,0,0.470299844455475,6459318FA08411CD0D954C7D02B7E079AF023E9204AE1FE3804E41067B4BE770,1,12421,1,kernelshap_paired,logreg,0.0013000123215138842,smoke,196,0.033141300082206726,mean_shift,0,1.0,1.3531999268495346e-06,0.4690614804870982,F5875F66A14021F082A40B9D5AF45091575DACEB892B542B8B561A8B2D306FCE,1.0,1.4056970446137872e-05,61AD17E85472AE623023E3D11F847B1636CB1A072643D76EBBD17220D9B54768,61AD17E85472AE623023E3D11F847B1636CB1A072643D76EBBD17220D9B54768
96,electricity,0,0.4755267949550558,61F9F93FFF212E8C9FEF37914FC2B52BBFC8A5B9DA36314FCB86DA8C6F592E90,1,12421,1,lime_independent,logreg,0.002086102094055801,smoke,192,0.03595740022137761,mean_shift,0,1.0,1.9338395680692418e-05,0.4801283963677329,4654B464A884B4AC5B292096B9C4FF5FAF73481700B5C3C7B615B48B6EC5BE2B,1.0,2.359281246286439e-05,,
