dataset,model,scenario,method,budget,split_count,v_exact_mean,v_mc_crn_mean,v_mc_independent_mean,v_mean_adjusted_crn_mean,v_mean_adjusted_independent_mean,window_share_crn_mean,aggregation
adult,hgb,mean_shift,ks_complement,512,5,0.01661085527039296,8.493608474683569e-05,9.251735192278811e-05,0.01663104086806642,0.016621105928667976,0.994791440577852,arithmetic means of five split-level components; not a pooled population variance
adult,hgb,mean_shift,leverage,512,5,0.01661085527039296,4.286709189771044e-05,4.732914636460801e-05,0.01661891077010819,0.016608409988191387,0.997367172724782,arithmetic means of five split-level components; not a pooled population variance
adult,hgb,null,ks_complement,512,5,0.02134573482998007,5.1589345694318274e-05,5.969736820186118e-05,0.021362666897005354,0.02136742153585349,0.9975613829061485,arithmetic means of five split-level components; not a pooled population variance
adult,hgb,null,leverage,512,5,0.02134573482998007,2.663799627342786e-05,3.079257674953931e-05,0.021360008289424852,0.02137233315324809,0.9987398181749783,arithmetic means of five split-level components; not a pooled population variance
adult,logreg,mean_shift,ks_complement,512,5,0.016450287428550876,4.720767316477601e-05,4.8436871192901824e-05,0.016463927623931233,0.016473312817378148,0.9971375793330935,arithmetic means of five split-level components; not a pooled population variance
adult,logreg,mean_shift,leverage,512,5,0.016450287428550876,2.593458811096522e-05,2.500824719095087e-05,0.01645384427661487,0.01647892479231139,0.9984246517565843,arithmetic means of five split-level components; not a pooled population variance
adult,logreg,null,ks_complement,512,5,0.016851882247979198,8.779858083541063e-06,9.42329915929282e-06,0.016852130038180795,0.01684477005893949,0.9994649079740032,arithmetic means of five split-level components; not a pooled population variance
adult,logreg,null,leverage,512,5,0.016851882247979198,4.530029751712102e-06,4.802162592162529e-06,0.016853379182670013,0.016865295585992618,0.9997256316368228,arithmetic means of five split-level components; not a pooled population variance
electricity,hgb,mean_shift,ks_complement,128,5,0.03218291111466606,0.00023921491859459928,0.0003076737418422403,0.03204841680940964,0.03217352823207677,0.9918568363540101,arithmetic means of five split-level components; not a pooled population variance
electricity,hgb,mean_shift,leverage,128,5,0.03218291111466606,5.402715565312364e-05,6.325622497968806e-05,0.03222524276233414,0.03222205339550033,0.9981645274457375,arithmetic means of five split-level components; not a pooled population variance
electricity,hgb,null,ks_complement,128,5,0.0630184881735816,0.00018777527916837583,0.0002293653053578411,0.06302553114418831,0.06321732609924718,0.996864238792371,arithmetic means of five split-level components; not a pooled population variance
electricity,hgb,null,leverage,128,5,0.0630184881735816,4.286143823995788e-05,4.7799758647465156e-05,0.0630130848509825,0.06295359488546379,0.999297916506119,arithmetic means of five split-level components; not a pooled population variance
electricity,logreg,mean_shift,ks_complement,128,5,0.010174403648116155,5.405051728001207e-06,5.608314042781297e-06,0.01017941164202008,0.01016544399627494,0.9994598461096155,arithmetic means of five split-level components; not a pooled population variance
electricity,logreg,mean_shift,leverage,128,5,0.010174403648116155,1.2689577074828268e-06,1.2584269771013653e-06,0.010173334078717046,0.010174573796924076,0.9998733080388856,arithmetic means of five split-level components; not a pooled population variance
electricity,logreg,null,ks_complement,128,5,0.025403336297830738,1.7599524536543163e-06,1.8718151925032198e-06,0.02539622842272273,0.025396454386259926,0.9999265605894265,arithmetic means of five split-level components; not a pooled population variance
electricity,logreg,null,leverage,128,5,0.025403336297830738,4.1769222735852174e-07,4.203995719153608e-07,0.025401412323027655,0.025401151318443383,0.999982661082265,arithmetic means of five split-level components; not a pooled population variance
