dataset,split,model,scenario,method,budget,v_exact,same_position_instances,v_mc_crn,v_mean_adjusted_crn,v_mc_independent,v_mean_adjusted_independent,window_share_crn
adult,10,hgb,mean_shift,ks_complement,512,0.013061119749749436,0,7.665732277365379e-05,0.013138124992840247,8.745214798662464e-05,0.013103341855575542,0.9941651222767375
adult,10,hgb,mean_shift,leverage,512,0.013061119749749436,0,3.7757525295059896e-05,0.013091749437433452,4.256661351742575e-05,0.013096948962446089,0.9971174991182645
adult,10,hgb,null,ks_complement,512,0.024511970702026587,0,5.749643368567524e-05,0.02455137283401486,6.648595333386885e-05,0.024600943136062883,0.9976598420564806
adult,10,hgb,null,leverage,512,0.024511970702026587,0,3.1335489383202125e-05,0.024545124411957036,3.5538804262885156e-05,0.02453989089947929,0.9987232572034582
adult,10,logreg,mean_shift,ks_complement,512,0.016449777025225314,0,5.2166683140153734e-05,0.016470769974951168,5.350897610572884e-05,0.016487963723606246,0.9968387552362266
adult,10,logreg,mean_shift,leverage,512,0.016449777025225314,0,2.968131627587695e-05,0.016473446235798828,2.720813177805865e-05,0.016503787713817424,0.9981988900568941
adult,10,logreg,null,ks_complement,512,0.02086959706509618,0,1.0331118778965721e-05,0.02086067401140931,1.1023732401880144e-05,0.02083210601624769,0.9995052129160605
adult,10,logreg,null,leverage,512,0.02086959706509618,0,5.338195302955749e-06,0.02084978768739594,5.509159663610375e-06,0.0208865673787391,0.999744277276247
adult,11,hgb,mean_shift,ks_complement,512,0.01800111249278194,0,8.219508719401908e-05,0.01803727539206922,8.544768116475615e-05,0.01797716870328468,0.9954546430828265
adult,11,hgb,mean_shift,leverage,512,0.01800111249278194,0,4.1899918520216314e-05,0.0179962933425854,4.520961855203602e-05,0.017956638206807582,0.9976777758854741
adult,11,hgb,null,ks_complement,512,0.015741160249943067,0,4.534694677649996e-05,0.01576566105767065,4.916530825804957e-05,0.01574586214228406,0.9971274870234803
adult,11,hgb,null,leverage,512,0.015741160249943067,0,2.358819088140757e-05,0.015778316542023305,2.8265924766603166e-05,0.015773638154895686,0.998503738199823
adult,11,logreg,mean_shift,ks_complement,512,0.018241736657339736,0,4.7941360072642805e-05,0.01826779676096861,4.80314234713676e-05,0.018278352362235687,0.9973787750649847
adult,11,logreg,mean_shift,leverage,512,0.018241736657339736,0,2.5701584409642004e-05,0.018238696256407647,2.6380331036507086e-05,0.01829072856558607,0.9985930383850483
adult,11,logreg,null,ks_complement,512,0.011229007946167078,0,7.709873694936908e-06,0.011227327668304142,8.275479881952422e-06,0.011245900415584535,0.9993138678198976
adult,11,logreg,null,leverage,512,0.011229007946167078,0,3.717962311932997e-06,0.011248381455949606,4.163893391579841e-06,0.01124333365454011,0.9996690062285658
adult,12,hgb,mean_shift,ks_complement,512,0.016982638975267604,0,9.049865409265016e-05,0.016989053496186148,9.576878248703691e-05,0.017002189562466737,0.9946993542688357
