dataset,model,method,budget,scenario,nmse_crn,nmse_independent,top5_mismatch_crn,top5_mismatch_independent,ratio
adult,hgb,ks_complement,512,mean_shift,0.0009926441811691105,0.001713409076045887,0.06687499999999993,0.08843749999999995,0.5793386967809703
adult,hgb,ks_complement,512,noise,0.0013190925554147411,0.005469880379385156,0.06749999999999992,0.15499999999999994,0.24115564947016524
adult,hgb,ks_complement,1024,mean_shift,0.0004951920707304527,0.0008432142707398031,0.04718749999999995,0.06499999999999993,0.5872671845271198
adult,hgb,ks_complement,1024,noise,0.0006683239666632056,0.0025267231557472257,0.044062499999999935,0.11593749999999994,0.264502252707445
adult,hgb,ks_iid,512,mean_shift,0.00358395262006663,0.009009055457381444,0.13187499999999994,0.18281249999999993,0.39781668977630374
adult,hgb,ks_iid,512,noise,0.005071436835275055,0.036806985964920505,0.1259374999999999,0.32437499999999997,0.13778462708433856
adult,hgb,ks_iid,1024,mean_shift,0.001820752358757545,0.0046300569494101195,0.09374999999999992,0.15781249999999994,0.3932462124444308
adult,hgb,ks_iid,1024,noise,0.0024371669678681794,0.018146788788998287,0.08687499999999991,0.26874999999999993,0.1343029334945333
adult,hgb,leverage,512,mean_shift,0.0005343819385923992,0.0008796380565108854,0.05156249999999994,0.06749999999999995,0.6075020681938701
adult,hgb,leverage,512,noise,0.0006736431685992232,0.0025738501001399804,0.04812499999999993,0.11468749999999994,0.2617258746197328
adult,hgb,leverage,1024,mean_shift,0.00020936781488902867,0.00031802511312388926,0.02374999999999996,0.03937499999999995,0.6583373647208413
adult,hgb,leverage,1024,noise,0.0002749927004613921,0.001034286596955647,0.030312499999999944,0.07999999999999993,0.2658766934337297
adult,hgb,poly3,512,mean_shift,0.02154818476392486,0.022823847041171276,0.14656249999999993,0.17187499999999994,0.9441083584662442
adult,hgb,poly3,512,noise,0.038595281962566924,0.044451638069753344,0.17624999999999993,0.2521874999999999,0.8682533116553175
adult,hgb,poly3,1024,mean_shift,0.00498230065124574,0.0057718666516008,0.09062499999999993,0.11718749999999993,0.8632043933073059
adult,hgb,poly3,1024,noise,0.00846533687793374,0.012962912312282956,0.08468749999999992,0.19281249999999991,0.6530428250997612
adult,logreg,ks_complement,512,mean_shift,0.0009372829365462832,0.0010335718536086083,0.07468749999999993,0.08499999999999994,0.906838681097843
adult,logreg,ks_complement,512,noise,0.0002243435544383767,0.0011927161249446596,0.029062499999999956,0.06999999999999997,0.18809467713768516
adult,logreg,ks_complement,1024,mean_shift,0.0004545126933621039,0.0004955860379177599,0.04843749999999993,0.05624999999999993,0.9171216672523129
adult,logreg,ks_complement,1024,noise,0.00012546965504646527,0.0005621069554655445,0.02218749999999996,0.05562499999999996,0.2232131337754923
adult,logreg,ks_iid,512,mean_shift,0.00527250883079895,0.00531915327572163,0.13937499999999992,0.1346874999999999,0.9912308515087204
adult,logreg,ks_iid,512,noise,0.0015072018604305557,0.01747231927351442,0.10656249999999992,0.26843749999999994,0.0862622664362173
adult,logreg,ks_iid,1024,mean_shift,0.002768814533886605,0.00279142293251166,0.10062499999999992,0.09968749999999992,0.9919007620229328
adult,logreg,ks_iid,1024,noise,0.0006796072499669343,0.008068662235994537,0.08031249999999993,0.21718749999999995,0.08422799592913763
adult,logreg,leverage,512,mean_shift,0.00048107247525848944,0.0005473016504153301,0.05437499999999994,0.058749999999999934,0.8789896301124226
adult,logreg,leverage,512,noise,0.00012461360845563997,0.0006248647296948328,0.018437499999999964,0.06062499999999997,0.19942493556405066
adult,logreg,leverage,1024,mean_shift,0.00019553787930854386,0.00020645340627687892,0.029687499999999943,0.035312499999999955,0.9471283755246158
adult,logreg,leverage,1024,noise,4.508870971218702e-05,0.0002071345021982981,0.012499999999999975,0.034999999999999976,0.21767841298125123
adult,logreg,poly3,512,mean_shift,0.010123974540350546,0.010369769731322875,0.10687499999999991,0.1212499999999999,0.976296948019021
adult,logreg,poly3,512,noise,0.009670773113729072,0.012239188114120595,0.10499999999999995,0.16874999999999993,0.7901482535897711
adult,logreg,poly3,1024,mean_shift,0.00241353157921038,0.00267164854132072,0.06937499999999994,0.07999999999999993,0.9033866325909992
adult,logreg,poly3,1024,noise,0.0022123636155456095,0.0036717676967520903,0.060312499999999936,0.12406249999999994,0.6025336563374051
electricity,hgb,ks_complement,128,mean_shift,0.002359344941252626,0.0031823929027960697,0.08843749999999992,0.10968749999999991,0.7413744981581913
electricity,hgb,ks_complement,128,noise,0.0019901799844118354,0.00336436543489915,0.06593749999999991,0.0868749999999999,0.5915469121657686
electricity,hgb,ks_complement,192,mean_shift,0.0014749880287283032,0.0019170833998864197,0.08031249999999991,0.09749999999999992,0.769391685732447
electricity,hgb,ks_complement,192,noise,0.0012657194936734333,0.002149212369017875,0.05093749999999993,0.07218749999999992,0.5889224871024862
electricity,hgb,ks_iid,128,mean_shift,0.01623027436188677,0.02042671053132611,0.1590624999999999,0.19906249999999995,0.7945613336516545
electricity,hgb,ks_iid,128,noise,0.01294262124611339,0.020956329914951315,0.15281249999999993,0.18468749999999995,0.6175996130352702
electricity,hgb,ks_iid,192,mean_shift,0.010939364658084486,0.013141245583382056,0.1449999999999999,0.18562499999999993,0.8324450364064432
electricity,hgb,ks_iid,192,noise,0.008141841785642664,0.01391891971065192,0.12937499999999993,0.16499999999999995,0.584947823171352
electricity,hgb,leverage,128,mean_shift,0.0005140292791519718,0.0006867531128225944,0.048124999999999925,0.06281249999999991,0.7484920993503504
electricity,hgb,leverage,128,noise,0.0004557385363595453,0.00074890705159538,0.038437499999999944,0.04968749999999993,0.6085381829276352
electricity,hgb,leverage,192,mean_shift,0.00012784394729057719,0.00016099516363681367,0.027187499999999955,0.04031249999999993,0.7940856383672384
electricity,hgb,leverage,192,noise,0.00011543139749796831,0.00017851547885509446,0.01999999999999996,0.030312499999999958,0.6466184234458845
electricity,hgb,poly3,128,mean_shift,0.007408066075957706,0.007964961091665775,0.1421874999999999,0.1512499999999999,0.9300818912611158
electricity,hgb,poly3,128,noise,0.00469553971032383,0.007115931453619084,0.11312499999999995,0.13218749999999993,0.659862976608035
electricity,hgb,poly3,192,mean_shift,0.0008183070493674123,0.000912651956979995,0.058749999999999934,0.06812499999999992,0.8966255351878342
electricity,hgb,poly3,192,noise,0.000498486709971279,0.000879689767462115,0.04406249999999995,0.05843749999999994,0.5666619397079061
electricity,logreg,ks_complement,128,mean_shift,9.083249103519352e-05,9.787803050225707e-05,0.051562499999999956,0.04812499999999995,0.9280171512349641
electricity,logreg,ks_complement,128,noise,4.004640463016329e-05,4.562417494628086e-05,0.023437499999999965,0.035312499999999955,0.8777452891436395
electricity,logreg,ks_complement,192,mean_shift,6.344584424778523e-05,5.702382887249763e-05,0.044687499999999956,0.04218749999999995,1.1126198556334563
electricity,logreg,ks_complement,192,noise,2.3546064977464216e-05,2.9085622989831655e-05,0.02093749999999997,0.032499999999999966,0.8095430854513905
electricity,logreg,ks_iid,128,mean_shift,0.0005914735430970312,0.0006633391522315543,0.10781249999999991,0.1215624999999999,0.8916608361005703
electricity,logreg,ks_iid,128,noise,0.0005437066821256796,0.0014870065169018125,0.1074999999999999,0.1449999999999999,0.3656383989886581
electricity,logreg,ks_iid,192,mean_shift,0.0003943599450711862,0.0004589475603406351,0.09343749999999991,0.11156249999999993,0.8592701631935653
electricity,logreg,ks_iid,192,noise,0.00035821978051174595,0.0009931599001277733,0.08874999999999991,0.13031249999999991,0.36068691503317823
electricity,logreg,leverage,128,mean_shift,2.3919160064100957e-05,2.2076644253221474e-05,0.03468749999999997,0.037812499999999964,1.0834599583951994
electricity,logreg,leverage,128,noise,7.140445723370817e-06,9.952425153810153e-06,0.013124999999999975,0.024062499999999966,0.7174578671046014
electricity,logreg,leverage,192,mean_shift,5.462010759471642e-06,5.228398872287522e-06,0.022187499999999978,0.022187499999999975,1.0446813437326579
electricity,logreg,leverage,192,noise,1.3718812869959102e-06,1.954136813262538e-06,0.00687499999999998,0.01249999999999998,0.7020395284941588
electricity,logreg,poly3,128,mean_shift,0.00021877285993213762,0.00019546737492760129,0.07281249999999992,0.07343749999999996,1.1192295390121672
electricity,logreg,poly3,128,noise,0.00019930273896911886,0.0003515317329262085,0.06156249999999993,0.08249999999999992,0.5669551858379606
electricity,logreg,poly3,192,mean_shift,2.474567894170398e-05,2.3906299981021134e-05,0.024062499999999952,0.029687499999999957,1.0351112033794112
electricity,logreg,poly3,192,noise,1.906347095096426e-05,4.2804976824126685e-05,0.02687499999999996,0.04093749999999994,0.4453564133276036
