arm,dataset,method,budget,draws,min_rank,max_rank,min_unique,max_unique,rank_loss_count,expected_rank
E1,adult,ks_complement,512,11520,13,13,292,396,0,13
E1,adult,ks_complement,1024,11520,13,13,544,688,0,13
E1,adult,ks_iid,512,11520,13,13,301,379,0,13
E1,adult,ks_iid,1024,11520,13,13,558,669,0,13
E1,adult,leverage,512,11520,13,13,512,512,0,13
E1,adult,leverage,1024,11520,13,13,1024,1024,0,13
E1,adult,poly3,512,11520,280,309,512,512,11520,377
E1,adult,poly3,1024,11520,377,377,1024,1024,0,377
E1,electricity,ks_complement,128,11520,7,7,50,102,0,7
E1,electricity,ks_complement,192,11520,7,7,74,126,0,7
E1,electricity,ks_iid,128,11520,7,7,61,94,0,7
E1,electricity,ks_iid,192,11520,7,7,78,125,0,7
E1,electricity,leverage,128,11520,7,7,128,128,0,7
E1,electricity,leverage,192,11520,7,7,192,192,0,7
E1,electricity,poly3,128,11520,60,63,128,128,1668,63
E1,electricity,poly3,192,11520,63,63,192,192,0,63
E2,adult,ks_complement,512,92160,13,13,274,404,0,13
E2,adult,leverage,512,92160,13,13,512,512,0,13
E2,electricity,ks_complement,128,92160,7,7,44,104,0,7
E2,electricity,leverage,128,92160,7,7,128,128,0,7
