record_type,scope,analysis_family,dataset,model,scenario,seed,method,method_estimand,endpoint,expected_direction,n_levels,spearman_rho,monotone_non_decreasing,violation_count,min_step,monotone_fraction,n_blocks
block,dataset_model_seed_scenario,explanation,adult,hgb,gradual,0.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.03107834908750229,1.0,1
block,dataset_model_seed_scenario,explanation,adult,hgb,gradual,1.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.006113141123557098,1.0,1
block,dataset_model_seed_scenario,explanation,adult,hgb,gradual,2.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.00305404125887343,1.0,1
block,dataset_model_seed_scenario,explanation,adult,hgb,gradual,3.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.8999999999999998,0.0,1,-0.012218354733085968,0.0,1
block,dataset_model_seed_scenario,explanation,adult,hgb,gradual,4.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.015989944689779545,1.0,1
block,dataset_model_seed_scenario,explanation,adult,logreg,gradual,0.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.012453439196802085,1.0,1
block,dataset_model_seed_scenario,explanation,adult,logreg,gradual,1.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.8999999999999998,0.0,1,-0.001889432666751012,0.0,1
block,dataset_model_seed_scenario,explanation,adult,logreg,gradual,2.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.008404607422277222,1.0,1
block,dataset_model_seed_scenario,explanation,adult,logreg,gradual,3.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.012939479232204176,1.0,1
block,dataset_model_seed_scenario,explanation,adult,logreg,gradual,4.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.008449242725163786,1.0,1
block,dataset_model_seed_scenario,explanation,adult,rf,gradual,0.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.019396465691851827,1.0,1
block,dataset_model_seed_scenario,explanation,adult,rf,gradual,1.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.8999999999999998,0.0,1,-0.009731548977208071,0.0,1
block,dataset_model_seed_scenario,explanation,adult,rf,gradual,2.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.0035379089551297316,1.0,1
block,dataset_model_seed_scenario,explanation,adult,rf,gradual,3.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.009255005726016119,1.0,1
block,dataset_model_seed_scenario,explanation,adult,rf,gradual,4.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.015467029144859201,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,hgb,gradual,0.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.03537571300007758,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,hgb,gradual,1.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.024756095412573842,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,hgb,gradual,2.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.023313062759101943,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,hgb,gradual,3.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.010856254278728827,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,hgb,gradual,4.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.014302491256147798,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,logreg,gradual,0.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.0019071410511219966,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,logreg,gradual,1.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.002321804554725193,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,logreg,gradual,2.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.002443760450670629,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,logreg,gradual,3.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.0016406306380757352,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,logreg,gradual,4.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.0018852328892242642,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,rf,gradual,0.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.02403402128904064,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,rf,gradual,1.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.02183926808642278,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,rf,gradual,2.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.026423484857868162,1.0,1
block,dataset_model_seed_scenario,explanation,bank-marketing,rf,gradual,3.0,lime,local_attribution,cosine_instability,nondecreasing_with_severity,5,0.9999999999999999,1.0,0,0.027250979957080035,1.0,1
