analysis_family,scope,dataset,model_scope,method,estimand_scope,scenario,severity,metric,estimate,ci_low_95,ci_high_95,n_dataset_strata,n_seed_clusters,bootstrap_replicates,replicate_unit
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,baseline,0.0,cosine_all,1.0,1.0,1.0,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,baseline,0.0,cosine_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,baseline,0.0,cosine_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,baseline,0.0,cosine_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,baseline,0.0,sign_all,1.0,1.0,1.0,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,baseline,0.0,sign_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,baseline,0.0,sign_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,baseline,0.0,sign_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,baseline,0.0,spearman_all,1.0,1.0,1.0,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,baseline,0.0,spearman_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,baseline,0.0,spearman_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,baseline,0.0,spearman_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,baseline,0.0,top3_all,1.0,1.0,1.0,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,baseline,0.0,top3_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,baseline,0.0,top3_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,baseline,0.0,top3_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,baseline,0.0,top5_all,1.0,1.0,1.0,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,baseline,0.0,top5_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,baseline,0.0,top5_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,baseline,0.0,top5_all,1.0,1.0,1.0,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.2,cosine_all,0.9829059624335731,0.9818663367034643,0.9839474764106382,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.2,cosine_all,0.9710220068783973,0.9687221117733156,0.9732326762787451,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.2,cosine_all,0.9860283022236709,0.9843322444808551,0.987782604804084,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.2,cosine_all,0.9916675781986513,0.9904478454526211,0.9929092353891852,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.2,sign_all,0.9661971793638461,0.9640426185953964,0.968233903622098,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.2,sign_all,0.9485521453854787,0.9430391398724731,0.9540651508984842,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.2,sign_all,0.9804811916478583,0.9776042661042659,0.9822755207755207,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.2,sign_all,0.969558201058201,0.9674021164021165,0.9716402116402115,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.2,spearman_all,0.9219856272993527,0.9184668362501696,0.9253348130990287,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.2,spearman_all,0.8985006105006106,0.8943589743589744,0.9033943833943834,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.2,spearman_all,0.9608954248366011,0.957562091503268,0.9640326797385619,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.2,spearman_all,0.9065608465608465,0.8972486772486773,0.9148677248677248,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.2,top3_all,0.8829629629629631,0.8782716049382716,0.8879012345679014,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.2,top3_all,0.8696296296296296,0.8637037037037038,0.8762962962962962,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.2,top3_all,0.914074074074074,0.9066666666666666,0.922962962962963,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.2,top3_all,0.8651851851851852,0.855537037037037,0.8762962962962962,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.2,top5_all,0.8814814814814814,0.8751111111111111,0.8881481481481482,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.2,top5_all,0.8440000000000001,0.836888888888889,0.8533333333333335,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.2,top5_all,0.9164444444444445,0.9035555555555556,0.9253333333333333,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.2,top5_all,0.884,0.8742222222222222,0.8991111111111112,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.4,cosine_all,0.9598993860993966,0.9573103065252111,0.9624167370666861,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.4,cosine_all,0.9434585338092136,0.9376180529987368,0.9489623712682024,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.4,cosine_all,0.9628356626780853,0.9585053048913279,0.9671660204648426,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.4,cosine_all,0.9734039618108913,0.9703081460122981,0.9768063364561865,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.4,sign_all,0.9192241482797039,0.914367103524048,0.9235441254732921,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.4,sign_all,0.8901031067697736,0.8805965885965886,0.8981855921855922,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.4,sign_all,0.9592280682280683,0.9565915750915751,0.9626771191771193,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.4,sign_all,0.9083412698412697,0.8975767195767196,0.9169179894179894,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.4,spearman_all,0.8482252467938743,0.8359476539618697,0.8586010115157173,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.4,spearman_all,0.8170451770451772,0.8044639804639806,0.8288742368742369,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.4,spearman_all,0.9273660130718954,0.923843137254902,0.9308888888888888,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.4,spearman_all,0.8002645502645501,0.7657142857142858,0.8288888888888888,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.4,top3_all,0.8219753086419753,0.8096296296296298,0.8338271604938273,3,15,10000,seed_cluster_within_fixed_dataset_stratum
