record_type,scope,dataset,model,seed,method,method_estimand,predictor,explanation_endpoint,rho,correlation_status,estimate,ci_low_95,ci_high_95,n_conditions,n_seed_clusters,bootstrap_replicates,replicate_unit
block,within_dataset_model_seed,adult,hgb,0.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9721100391402382,ok,0.9721100391402382,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,1.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9671090773243209,ok,0.9671090773243209,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,2.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9676923076923077,ok,0.9676923076923077,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,3.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9628774942493139,ok,0.9628774942493139,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,4.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9561538461538461,ok,0.9561538461538461,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,0.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9861538461538462,ok,0.9861538461538462,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,1.0,lime,local_attribution,accuracy_drop,cosine_instability,0.8315384615384616,ok,0.8315384615384616,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,2.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9655703198425002,ok,0.9655703198425002,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,3.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9923076923076923,ok,0.9923076923076923,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,4.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9732641072516037,ok,0.9732641072516037,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,0.0,lime,local_attribution,accuracy_drop,cosine_instability,0.8969230769230769,ok,0.8969230769230769,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,1.0,lime,local_attribution,accuracy_drop,cosine_instability,0.8530769230769231,ok,0.8530769230769231,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,2.0,lime,local_attribution,accuracy_drop,cosine_instability,0.8746153846153846,ok,0.8746153846153846,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,3.0,lime,local_attribution,accuracy_drop,cosine_instability,0.8767070752673537,ok,0.8767070752673537,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,4.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9117138079787751,ok,0.9117138079787751,,,25,1,0,single_seed_block
