dataset,model,scenario,severity,seed,method,acc_v2,flip_v2,dconf_v2,ece_v2,mean_conf_v2,stable_frac_v2,expl_time_s_v2,top3_all_v2,top5_all_v2,spearman_all_v2,cosine_all_v2,sign_all_v2,top3_stable_v2,top5_stable_v2,spearman_stable_v2,cosine_stable_v2,sign_stable_v2,acc_legacy,flip_legacy,dconf_legacy,ece_legacy,mean_conf_legacy,stable_frac_legacy,expl_time_s_legacy,top3_all_legacy,top5_all_legacy,spearman_all_legacy,cosine_all_legacy,sign_all_legacy,top3_stable_legacy,top5_stable_legacy,spearman_stable_legacy,cosine_stable_legacy,sign_stable_legacy,key_match_status,delta_acc,delta_flip,delta_dconf,delta_ece,delta_mean_conf,delta_stable_frac,delta_expl_time_s,delta_top3_all,delta_top5_all,delta_spearman_all,delta_cosine_all,delta_sign_all,delta_top3_stable,delta_top5_stable,delta_spearman_stable,delta_cosine_stable,delta_sign_stable,comparison_use
adult,hgb,baseline,0.0,0,lime,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,1.624906799999735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,0.0007457733154296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,1.6241610266843054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,0,pi,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,9.099999260797633e-06,1.0,1.0,1.0,1.0,1.0,,,,,,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,9.099999260797633e-06,0.0,0.0,0.0,0.0,0.0,,,,,,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,0,shap,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,8.799999704933725e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,8.799999704933725e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,1,lime,0.8772947519279328,0.0,0.0,0.0098669109551209,0.8786715575731867,1.0,1.3786478000001807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8772947519279328,0.0,0.0,0.0098669109551209,0.8786715575731867,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,1.3786478000001807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,1,pi,0.8772947519279328,0.0,0.0,0.0098669109551209,0.8786715575731867,1.0,7.300000106624793e-06,1.0,1.0,1.0,1.0,1.0,,,,,,0.8772947519279328,0.0,0.0,0.0098669109551209,0.8786715575731867,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,7.300000106624793e-06,0.0,0.0,0.0,0.0,0.0,,,,,,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,1,shap,0.8772947519279328,0.0,0.0,0.0098669109551209,0.8786715575731867,1.0,1.049999991664663e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8772947519279328,0.0,0.0,0.0098669109551209,0.8786715575731867,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,1.049999991664663e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,2,lime,0.8684910939739302,0.0,0.0,0.0104177096067706,0.8762173661202309,1.0,1.3144397999994908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8684910939739302,0.0,0.0,0.0104177096067706,0.8762173661202309,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,1.3144397999994908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,2,pi,0.8684910939739302,0.0,0.0,0.0104177096067706,0.8762173661202309,1.0,1.0199999451288022e-05,1.0,1.0,1.0,1.0,1.0,,,,,,0.8684910939739302,0.0,0.0,0.0104177096067706,0.8762173661202309,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,1.0199999451288022e-05,0.0,0.0,0.0,0.0,0.0,,,,,,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,2,shap,0.8684910939739302,0.0,0.0,0.0104177096067706,0.8762173661202309,1.0,1.0000000656873452e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8684910939739302,0.0,0.0,0.0104177096067706,0.8762173661202309,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000656873452e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,3,lime,0.8704702108783184,0.0,0.0,0.0083998398451728,0.8785314976196118,1.0,1.7857060999995156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8704702108783184,0.0,0.0,0.0083998398451728,0.8785314976196118,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,1.7857060999995156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_only_nonpaired_legacy
