dataset,model,scenario,severity,seed,method,acc,flip,dconf,ece,mean_conf,stable_frac,expl_time_s,run_id,host,schema_version,seed_policy_version,shift_seed,shift_hash,lime_sampling_space,lime_pairing,config_hash,source_hash,common_hash,dataset_fingerprint,ref_idx_hash,pi_idx_hash,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable
adult,hgb,baseline,0.0,0,lime,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,1.624906799999735,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,raw_mixed_feature,instance_keyed_crn,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,baseline,0.0,0,pi,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,9.099999260797633e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,hgb,baseline,0.0,0,shap,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,8.799999704933725e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,baseline,0.0,1,lime,0.8772947519279328,0.0,0.0,0.0098669109551209,0.8786715575731867,1.0,1.3786478000001807,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,777730917,88aa70ecc9aabc463b5adfd9d37a96b8274f83c923c5160066a1ef01e63441ad,raw_mixed_feature,instance_keyed_crn,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,37ae331f1a06d1d275b9d23f64433df94b03f525e67feaba54d01fc79d4dd292,362edf4119e9d08be52e0f1f58f085d0f790210cab2a0541705f3d785f5883b7,9eb12f0d4cd7cc0f240786df23f1219f0bc27b9f28bff9f1cdc9212f9f21dba1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,baseline,0.0,1,pi,0.8772947519279328,0.0,0.0,0.0098669109551209,0.8786715575731867,1.0,7.300000106624793e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,777730917,88aa70ecc9aabc463b5adfd9d37a96b8274f83c923c5160066a1ef01e63441ad,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,37ae331f1a06d1d275b9d23f64433df94b03f525e67feaba54d01fc79d4dd292,362edf4119e9d08be52e0f1f58f085d0f790210cab2a0541705f3d785f5883b7,9eb12f0d4cd7cc0f240786df23f1219f0bc27b9f28bff9f1cdc9212f9f21dba1,1.0,1.0,1.0,1.0,1.0,,,,,
adult,hgb,baseline,0.0,1,shap,0.8772947519279328,0.0,0.0,0.0098669109551209,0.8786715575731867,1.0,1.049999991664663e-05,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,777730917,88aa70ecc9aabc463b5adfd9d37a96b8274f83c923c5160066a1ef01e63441ad,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,37ae331f1a06d1d275b9d23f64433df94b03f525e67feaba54d01fc79d4dd292,362edf4119e9d08be52e0f1f58f085d0f790210cab2a0541705f3d785f5883b7,9eb12f0d4cd7cc0f240786df23f1219f0bc27b9f28bff9f1cdc9212f9f21dba1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,baseline,0.0,2,lime,0.8684910939739302,0.0,0.0,0.0104177096067706,0.8762173661202309,1.0,1.3144397999994908,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,882817857,c6d8650007e3089828e746c9da3ed3134cd1e412d0bcf0ec5091456c5279334d,raw_mixed_feature,instance_keyed_crn,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,f63f4c440c0cace8d53148d729bb6ce31eea120fde392bb37b1b879c42f5475f,72e373e38c06245da4754d68d0cc8799a4774ffa06fde57fe7080bad52674462,0b06d7a03389f6f20b7cfb8ae14d167d15f5fd59caf06ae23bddce3e5103de28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,baseline,0.0,2,pi,0.8684910939739302,0.0,0.0,0.0104177096067706,0.8762173661202309,1.0,1.0199999451288022e-05,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,882817857,c6d8650007e3089828e746c9da3ed3134cd1e412d0bcf0ec5091456c5279334d,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,f63f4c440c0cace8d53148d729bb6ce31eea120fde392bb37b1b879c42f5475f,72e373e38c06245da4754d68d0cc8799a4774ffa06fde57fe7080bad52674462,0b06d7a03389f6f20b7cfb8ae14d167d15f5fd59caf06ae23bddce3e5103de28,1.0,1.0,1.0,1.0,1.0,,,,,
adult,hgb,baseline,0.0,2,shap,0.8684910939739302,0.0,0.0,0.0104177096067706,0.8762173661202309,1.0,1.0000000656873452e-05,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,882817857,c6d8650007e3089828e746c9da3ed3134cd1e412d0bcf0ec5091456c5279334d,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,f63f4c440c0cace8d53148d729bb6ce31eea120fde392bb37b1b879c42f5475f,72e373e38c06245da4754d68d0cc8799a4774ffa06fde57fe7080bad52674462,0b06d7a03389f6f20b7cfb8ae14d167d15f5fd59caf06ae23bddce3e5103de28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,baseline,0.0,3,lime,0.8704702108783184,0.0,0.0,0.0083998398451728,0.8785314976196118,1.0,1.7857060999995156,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1598356262,6403c9c99a895054310abf7b19eee9c5d9ba3371080e26b63b1a451e02238860,raw_mixed_feature,instance_keyed_crn,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,08f86cc1e0aa3921bbee03cac71658b6cca2f5cbadbfbdfb61323edb79db14e8,4391ac489665a65e38f6d01799c8f49438cadb04d9e0f4a3d38c9fff8fb265a9,7fccc52d072eb7633229241e55810fc4b78455ad562bde1af824ffb26f43f9e5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,baseline,0.0,3,pi,0.8704702108783184,0.0,0.0,0.0083998398451728,0.8785314976196118,1.0,1.0599999768601265e-05,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1598356262,6403c9c99a895054310abf7b19eee9c5d9ba3371080e26b63b1a451e02238860,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,08f86cc1e0aa3921bbee03cac71658b6cca2f5cbadbfbdfb61323edb79db14e8,4391ac489665a65e38f6d01799c8f49438cadb04d9e0f4a3d38c9fff8fb265a9,7fccc52d072eb7633229241e55810fc4b78455ad562bde1af824ffb26f43f9e5,1.0,1.0,1.0,1.0,1.0,,,,,
adult,hgb,baseline,0.0,3,shap,0.8704702108783184,0.0,0.0,0.0083998398451728,0.8785314976196118,1.0,9.40000063565094e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1598356262,6403c9c99a895054310abf7b19eee9c5d9ba3371080e26b63b1a451e02238860,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,08f86cc1e0aa3921bbee03cac71658b6cca2f5cbadbfbdfb61323edb79db14e8,4391ac489665a65e38f6d01799c8f49438cadb04d9e0f4a3d38c9fff8fb265a9,7fccc52d072eb7633229241e55810fc4b78455ad562bde1af824ffb26f43f9e5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,baseline,0.0,4,lime,0.869310038899884,0.0,0.0,0.0110035729496753,0.8787426971067894,1.0,1.486490600000252,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1337594667,99976094937d8a57926b55330e0f3e8a8986d392709a1795d33fa7081c0db771,raw_mixed_feature,instance_keyed_crn,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,fbfd665463a89aa557c632103d253b9066ef6a1d0156928a2a8e547b82f42b4b,b1209feb84afbc657cadee0de1d0f8c2a730a6c59db982fe5acdde82acbb857f,8b1223775d34d7b22870198efe8341b09a1c9bd34a29ee8a1daa4f90a4134d0f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,baseline,0.0,4,pi,0.869310038899884,0.0,0.0,0.0110035729496753,0.8787426971067894,1.0,7.99999907030724e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1337594667,99976094937d8a57926b55330e0f3e8a8986d392709a1795d33fa7081c0db771,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,fbfd665463a89aa557c632103d253b9066ef6a1d0156928a2a8e547b82f42b4b,b1209feb84afbc657cadee0de1d0f8c2a730a6c59db982fe5acdde82acbb857f,8b1223775d34d7b22870198efe8341b09a1c9bd34a29ee8a1daa4f90a4134d0f,1.0,1.0,1.0,1.0,1.0,,,,,
adult,hgb,baseline,0.0,4,shap,0.869310038899884,0.0,0.0,0.0110035729496753,0.8787426971067894,1.0,8.900000466383062e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1337594667,99976094937d8a57926b55330e0f3e8a8986d392709a1795d33fa7081c0db771,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,fbfd665463a89aa557c632103d253b9066ef6a1d0156928a2a8e547b82f42b4b,b1209feb84afbc657cadee0de1d0f8c2a730a6c59db982fe5acdde82acbb857f,8b1223775d34d7b22870198efe8341b09a1c9bd34a29ee8a1daa4f90a4134d0f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,gradual,0.2,0,lime,0.8121886303146113,0.1429741349894219,0.1554486686463943,0.1519439840682479,0.961784926113166,0.865,3.2245567999998457,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,681510590,237b75b5ecd9b8927f98a0b0bb291b6507b233a6c535e7d62987205293519597,raw_mixed_feature,instance_keyed_crn,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,0.7444444444444444,0.7266666666666668,0.7834432234432235,0.9381604201475052,0.9001107226107226,0.7530864197530863,0.725925925925926,0.7912901912901914,0.949793134733004,0.9014439264439263
adult,hgb,gradual,0.2,0,pi,0.8121886303146113,0.1429741349894219,0.1554486686463943,0.1519439840682479,0.961784926113166,0.865,1.1058937999996488,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,681510590,237b75b5ecd9b8927f98a0b0bb291b6507b233a6c535e7d62987205293519597,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,0.8,0.9516483516483516,0.9854233552920144,1.0,,,,,
