dataset,model,scenario,severity,seed,method,acc,flip,dconf,ece,mean_conf,stable_frac,expl_time_s,run_id,host,schema_version,seed_policy_version,shift_seed,shift_hash,lime_sampling_space,lime_pairing,config_hash,source_hash,common_hash,dataset_fingerprint,ref_idx_hash,pi_idx_hash,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable
adult,hgb,baseline,0.0,0,lime,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,1.624906799999735,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,raw_mixed_feature,instance_keyed_crn,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,baseline,0.0,0,pi,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,9.099999260797633e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,hgb,baseline,0.0,0,shap,0.8705384562888145,0.0,0.0,0.0094580716017925,0.8776564011522708,1.0,8.799999704933725e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,logreg,baseline,0.0,0,lime,0.8524534225073364,0.0,0.0,0.0085364295292679,0.8558282934561207,1.0,0.8962145000004966,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,raw_mixed_feature,instance_keyed_crn,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,logreg,baseline,0.0,0,pi,0.8524534225073364,0.0,0.0,0.0085364295292679,0.8558282934561207,1.0,8.199999683711212e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,baseline,0.0,0,shap,0.8524534225073364,0.0,0.0,0.0085364295292679,0.8558282934561207,1.0,8.700000762473792e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,rf,baseline,0.0,0,lime,0.8598921722514161,0.0,0.0,0.0316088025228373,0.83300289035888,1.0,2.0936712000002444,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,raw_mixed_feature,instance_keyed_crn,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,rf,baseline,0.0,0,pi,0.8598921722514161,0.0,0.0,0.0316088025228373,0.83300289035888,1.0,9.899999895424116e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,baseline,0.0,0,shap,0.8598921722514161,0.0,0.0,0.0316088025228373,0.83300289035888,1.0,9.899999895424116e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,958653005,03f5c8562cb61fd59aa6646a277240f146ab2405d6da628aa0029305e073336d,na,na,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,gradual,0.2,0,lime,0.8121886303146113,0.1429741349894219,0.1554486686463943,0.1519439840682479,0.961784926113166,0.865,3.2245567999998457,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,681510590,237b75b5ecd9b8927f98a0b0bb291b6507b233a6c535e7d62987205293519597,raw_mixed_feature,instance_keyed_crn,720d619ecff379d265d117fc247e28a6d8802e13e9a07dfad6c64e218e79818a,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,eb490addfb5e760c533754c893c864f32dfcc5647d787d7a03d13cbf1d420a5b,113b5724fddc0229a14df8fb59f17dd904677e66aca3de73aff05a905d713a1c,9013eadf93a829ca6b5a744870ea44b2a53a82fa3291e3eb200e86b3002935e0,0.7444444444444444,0.7266666666666668,0.7834432234432235,0.9381604201475052,0.9001107226107226,0.7530864197530863,0.725925925925926,0.7912901912901914,0.949793134733004,0.9014439264439263
