dataset,model,scenario,severity,seed,method,acc,flip,dconf,ece,mean_conf,stable_frac,expl_time_s,run_id,host,schema_version,seed_policy_version,shift_seed,shift_hash,lime_sampling_space,lime_pairing,config_hash,source_hash,common_hash,dataset_fingerprint,ref_idx_hash,pi_idx_hash,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable
bank-marketing,hgb,baseline,0.0,0,lime,0.909023886759068,0.0,0.0,0.0112916652667831,0.9176864074795956,1.0,1.496186100000159,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1087814131,211f1c56b50ad582403c6e8efc94397d87382dea433ac93832bf4b5bec043a10,raw_mixed_feature,instance_keyed_crn,10f34f1f93ef7fec276c5f08d9e83a45b180c465c8b45375d1a560ced93029e4,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,3abccdcb14c11366ccaee82e10811e59a956b67f94f6e241ce01cc471d586a2c,90ed7431a1619bf4d0a9a81abfbf7f354ff6c08d49d24f1b9764cff441280991,0286a2a2069a84488adcf11676c71f10f1191cbf19cf1f8f179a0da21088e522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bank-marketing,hgb,baseline,0.0,0,pi,0.909023886759068,0.0,0.0,0.0112916652667831,0.9176864074795956,1.0,9.399999726156238e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1087814131,211f1c56b50ad582403c6e8efc94397d87382dea433ac93832bf4b5bec043a10,na,na,10f34f1f93ef7fec276c5f08d9e83a45b180c465c8b45375d1a560ced93029e4,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,3abccdcb14c11366ccaee82e10811e59a956b67f94f6e241ce01cc471d586a2c,90ed7431a1619bf4d0a9a81abfbf7f354ff6c08d49d24f1b9764cff441280991,0286a2a2069a84488adcf11676c71f10f1191cbf19cf1f8f179a0da21088e522,1.0,1.0,1.0,1.0,1.0,,,,,
bank-marketing,hgb,baseline,0.0,0,shap,0.909023886759068,0.0,0.0,0.0112916652667831,0.9176864074795956,1.0,9.300000783696303e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1087814131,211f1c56b50ad582403c6e8efc94397d87382dea433ac93832bf4b5bec043a10,na,na,10f34f1f93ef7fec276c5f08d9e83a45b180c465c8b45375d1a560ced93029e4,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,3abccdcb14c11366ccaee82e10811e59a956b67f94f6e241ce01cc471d586a2c,90ed7431a1619bf4d0a9a81abfbf7f354ff6c08d49d24f1b9764cff441280991,0286a2a2069a84488adcf11676c71f10f1191cbf19cf1f8f179a0da21088e522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bank-marketing,logreg,baseline,0.0,0,lime,0.901135358301386,0.0,0.0,0.0300051630100728,0.9108767639905372,1.0,0.8440154999998413,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1087814131,211f1c56b50ad582403c6e8efc94397d87382dea433ac93832bf4b5bec043a10,raw_mixed_feature,instance_keyed_crn,10f34f1f93ef7fec276c5f08d9e83a45b180c465c8b45375d1a560ced93029e4,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,3abccdcb14c11366ccaee82e10811e59a956b67f94f6e241ce01cc471d586a2c,90ed7431a1619bf4d0a9a81abfbf7f354ff6c08d49d24f1b9764cff441280991,0286a2a2069a84488adcf11676c71f10f1191cbf19cf1f8f179a0da21088e522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bank-marketing,logreg,baseline,0.0,0,pi,0.901135358301386,0.0,0.0,0.0300051630100728,0.9108767639905372,1.0,8.200000593205914e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1087814131,211f1c56b50ad582403c6e8efc94397d87382dea433ac93832bf4b5bec043a10,na,na,10f34f1f93ef7fec276c5f08d9e83a45b180c465c8b45375d1a560ced93029e4,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,3abccdcb14c11366ccaee82e10811e59a956b67f94f6e241ce01cc471d586a2c,90ed7431a1619bf4d0a9a81abfbf7f354ff6c08d49d24f1b9764cff441280991,0286a2a2069a84488adcf11676c71f10f1191cbf19cf1f8f179a0da21088e522,1.0,1.0,1.0,1.0,1.0,,,,,
bank-marketing,logreg,baseline,0.0,0,shap,0.901135358301386,0.0,0.0,0.0300051630100728,0.9108767639905372,1.0,9.500000487605575e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1087814131,211f1c56b50ad582403c6e8efc94397d87382dea433ac93832bf4b5bec043a10,na,na,10f34f1f93ef7fec276c5f08d9e83a45b180c465c8b45375d1a560ced93029e4,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,3abccdcb14c11366ccaee82e10811e59a956b67f94f6e241ce01cc471d586a2c,90ed7431a1619bf4d0a9a81abfbf7f354ff6c08d49d24f1b9764cff441280991,0286a2a2069a84488adcf11676c71f10f1191cbf19cf1f8f179a0da21088e522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bank-marketing,rf,baseline,0.0,0,lime,0.8985549985255087,0.0,0.0,0.0349736559223621,0.8917816388304541,1.0,1.9941148999996583,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1087814131,211f1c56b50ad582403c6e8efc94397d87382dea433ac93832bf4b5bec043a10,raw_mixed_feature,instance_keyed_crn,10f34f1f93ef7fec276c5f08d9e83a45b180c465c8b45375d1a560ced93029e4,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,3abccdcb14c11366ccaee82e10811e59a956b67f94f6e241ce01cc471d586a2c,90ed7431a1619bf4d0a9a81abfbf7f354ff6c08d49d24f1b9764cff441280991,0286a2a2069a84488adcf11676c71f10f1191cbf19cf1f8f179a0da21088e522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bank-marketing,rf,baseline,0.0,0,pi,0.8985549985255087,0.0,0.0,0.0349736559223621,0.8917816388304541,1.0,8.100000741251279e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1087814131,211f1c56b50ad582403c6e8efc94397d87382dea433ac93832bf4b5bec043a10,na,na,10f34f1f93ef7fec276c5f08d9e83a45b180c465c8b45375d1a560ced93029e4,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,3abccdcb14c11366ccaee82e10811e59a956b67f94f6e241ce01cc471d586a2c,90ed7431a1619bf4d0a9a81abfbf7f354ff6c08d49d24f1b9764cff441280991,0286a2a2069a84488adcf11676c71f10f1191cbf19cf1f8f179a0da21088e522,1.0,1.0,1.0,1.0,1.0,,,,,
bank-marketing,rf,baseline,0.0,0,shap,0.8985549985255087,0.0,0.0,0.0349736559223621,0.8917816388304541,1.0,8.50000014906982e-06,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1087814131,211f1c56b50ad582403c6e8efc94397d87382dea433ac93832bf4b5bec043a10,na,na,10f34f1f93ef7fec276c5f08d9e83a45b180c465c8b45375d1a560ced93029e4,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,3abccdcb14c11366ccaee82e10811e59a956b67f94f6e241ce01cc471d586a2c,90ed7431a1619bf4d0a9a81abfbf7f354ff6c08d49d24f1b9764cff441280991,0286a2a2069a84488adcf11676c71f10f1191cbf19cf1f8f179a0da21088e522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bank-marketing,hgb,gradual,0.2,0,lime,0.8872751400766735,0.0630345030964317,0.0668215501806188,0.0588810007907544,0.8742972314069568,0.965,2.816035499999998,2026-07-17_codex_Windows workstation C (pseudonymized)_full_remediation_r01,Windows workstation C (pseudonymized),main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1662181889,002f06de3991137bb58b196822778f57d49423da7e6d5bdc0669305edaad9c9f,raw_mixed_feature,instance_keyed_crn,10f34f1f93ef7fec276c5f08d9e83a45b180c465c8b45375d1a560ced93029e4,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,3abccdcb14c11366ccaee82e10811e59a956b67f94f6e241ce01cc471d586a2c,90ed7431a1619bf4d0a9a81abfbf7f354ff6c08d49d24f1b9764cff441280991,0286a2a2069a84488adcf11676c71f10f1191cbf19cf1f8f179a0da21088e522,0.8333333333333334,0.8800000000000002,0.9419607843137252,0.9788616098051331,0.9744422244422244,0.839080459770115,0.8827586206896554,0.9469574036511154,0.9821834092116978,0.9815184815184816
