dataset,model,scenario,severity,seed,method,acc,flip,dconf,ece,mean_conf,stable_frac,expl_time_s,run_id,host,schema_version,seed_policy_version,shift_seed,shift_hash,lime_sampling_space,lime_pairing,config_hash,source_hash,common_hash,dataset_fingerprint,ref_idx_hash,pi_idx_hash,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable
electricity,hgb,baseline,0.0,0,lime,0.9041488892158304,0.0,0.0,0.0436945137061141,0.8614524674391948,1.0,1.1645725999997012,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,562634364,4321e45d97b61a047d934305d87d8a4985c401bbc453295c91928b44217e8ecb,raw_mixed_feature,instance_keyed_crn,5855bde5428f6c78b33e46113ac4d3cf098a159e1086425690f402d15e2fcd14,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,51ea1a4c06736c4b8144a047f236e6c515f7ee3da40f03e6ff8ed69089ed5881,5bb48cfa534000f16d0cef0d0335259a0aebb1b2f6c6398f2593ad2102be8dd8,6402822e6c7224e0c33ae040f4c2588f6e7bd4d41c2c716b0a0772ec2bbebfa6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
electricity,hgb,baseline,0.0,0,pi,0.9041488892158304,0.0,0.0,0.0436945137061141,0.8614524674391948,1.0,7.999999979801942e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,562634364,4321e45d97b61a047d934305d87d8a4985c401bbc453295c91928b44217e8ecb,na,na,5855bde5428f6c78b33e46113ac4d3cf098a159e1086425690f402d15e2fcd14,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,51ea1a4c06736c4b8144a047f236e6c515f7ee3da40f03e6ff8ed69089ed5881,5bb48cfa534000f16d0cef0d0335259a0aebb1b2f6c6398f2593ad2102be8dd8,6402822e6c7224e0c33ae040f4c2588f6e7bd4d41c2c716b0a0772ec2bbebfa6,1.0,1.0,1.0,1.0,1.0,,,,,
electricity,hgb,baseline,0.0,0,shap,0.9041488892158304,0.0,0.0,0.0436945137061141,0.8614524674391948,1.0,8.099999831756577e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,562634364,4321e45d97b61a047d934305d87d8a4985c401bbc453295c91928b44217e8ecb,na,na,5855bde5428f6c78b33e46113ac4d3cf098a159e1086425690f402d15e2fcd14,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,51ea1a4c06736c4b8144a047f236e6c515f7ee3da40f03e6ff8ed69089ed5881,5bb48cfa534000f16d0cef0d0335259a0aebb1b2f6c6398f2593ad2102be8dd8,6402822e6c7224e0c33ae040f4c2588f6e7bd4d41c2c716b0a0772ec2bbebfa6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
electricity,logreg,baseline,0.0,0,lime,0.7611446226276298,0.0,0.0,0.0190250621658606,0.7591958133403351,1.0,0.52960929999972,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,562634364,4321e45d97b61a047d934305d87d8a4985c401bbc453295c91928b44217e8ecb,raw_mixed_feature,instance_keyed_crn,5855bde5428f6c78b33e46113ac4d3cf098a159e1086425690f402d15e2fcd14,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,51ea1a4c06736c4b8144a047f236e6c515f7ee3da40f03e6ff8ed69089ed5881,5bb48cfa534000f16d0cef0d0335259a0aebb1b2f6c6398f2593ad2102be8dd8,6402822e6c7224e0c33ae040f4c2588f6e7bd4d41c2c716b0a0772ec2bbebfa6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
electricity,logreg,baseline,0.0,0,pi,0.7611446226276298,0.0,0.0,0.0190250621658606,0.7591958133403351,1.0,7.599999662488699e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,562634364,4321e45d97b61a047d934305d87d8a4985c401bbc453295c91928b44217e8ecb,na,na,5855bde5428f6c78b33e46113ac4d3cf098a159e1086425690f402d15e2fcd14,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,51ea1a4c06736c4b8144a047f236e6c515f7ee3da40f03e6ff8ed69089ed5881,5bb48cfa534000f16d0cef0d0335259a0aebb1b2f6c6398f2593ad2102be8dd8,6402822e6c7224e0c33ae040f4c2588f6e7bd4d41c2c716b0a0772ec2bbebfa6,1.0,1.0,1.0,1.0,1.0,,,,,
electricity,logreg,baseline,0.0,0,shap,0.7611446226276298,0.0,0.0,0.0190250621658606,0.7591958133403351,1.0,7.900000127847306e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,562634364,4321e45d97b61a047d934305d87d8a4985c401bbc453295c91928b44217e8ecb,na,na,5855bde5428f6c78b33e46113ac4d3cf098a159e1086425690f402d15e2fcd14,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,51ea1a4c06736c4b8144a047f236e6c515f7ee3da40f03e6ff8ed69089ed5881,5bb48cfa534000f16d0cef0d0335259a0aebb1b2f6c6398f2593ad2102be8dd8,6402822e6c7224e0c33ae040f4c2588f6e7bd4d41c2c716b0a0772ec2bbebfa6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
electricity,rf,baseline,0.0,0,lime,0.8461085773135206,0.0,0.0,0.0727714903278278,0.7875257104049642,1.0,1.6433328000002805,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,562634364,4321e45d97b61a047d934305d87d8a4985c401bbc453295c91928b44217e8ecb,raw_mixed_feature,instance_keyed_crn,5855bde5428f6c78b33e46113ac4d3cf098a159e1086425690f402d15e2fcd14,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,51ea1a4c06736c4b8144a047f236e6c515f7ee3da40f03e6ff8ed69089ed5881,5bb48cfa534000f16d0cef0d0335259a0aebb1b2f6c6398f2593ad2102be8dd8,6402822e6c7224e0c33ae040f4c2588f6e7bd4d41c2c716b0a0772ec2bbebfa6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
electricity,rf,baseline,0.0,0,pi,0.8461085773135206,0.0,0.0,0.0727714903278278,0.7875257104049642,1.0,9.999999747378752e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,562634364,4321e45d97b61a047d934305d87d8a4985c401bbc453295c91928b44217e8ecb,na,na,5855bde5428f6c78b33e46113ac4d3cf098a159e1086425690f402d15e2fcd14,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,51ea1a4c06736c4b8144a047f236e6c515f7ee3da40f03e6ff8ed69089ed5881,5bb48cfa534000f16d0cef0d0335259a0aebb1b2f6c6398f2593ad2102be8dd8,6402822e6c7224e0c33ae040f4c2588f6e7bd4d41c2c716b0a0772ec2bbebfa6,1.0,1.0,1.0,1.0,1.0,,,,,
electricity,rf,baseline,0.0,0,shap,0.8461085773135206,0.0,0.0,0.0727714903278278,0.7875257104049642,1.0,9.200000022246968e-06,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,562634364,4321e45d97b61a047d934305d87d8a4985c401bbc453295c91928b44217e8ecb,na,na,5855bde5428f6c78b33e46113ac4d3cf098a159e1086425690f402d15e2fcd14,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,51ea1a4c06736c4b8144a047f236e6c515f7ee3da40f03e6ff8ed69089ed5881,5bb48cfa534000f16d0cef0d0335259a0aebb1b2f6c6398f2593ad2102be8dd8,6402822e6c7224e0c33ae040f4c2588f6e7bd4d41c2c716b0a0772ec2bbebfa6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
electricity,hgb,gradual,0.2,0,lime,0.675371487420921,0.3077828453729586,0.2641191430211355,0.2229495940656987,0.8687968884515935,0.69,2.313870199999656,2026-07-17_codex_canayxps15_full_remediation_r01,canayxps15,main-grid-v2-raw-lime-crn,v2-raw-lime-cell-keyed,1278518873,4413dd95fb89989a45bd9a4660f9fcfc37baf5248ce4616764fef20cf0c7bf18,raw_mixed_feature,instance_keyed_crn,5855bde5428f6c78b33e46113ac4d3cf098a159e1086425690f402d15e2fcd14,6e6bd31ec2e42fd048c877cf75c14a87f2c5eb5772e42f699ca48eeaf04112c2,3d11a8551542c6f574fb638af8cf0b243bce7eea1281c74a9d0bdb836b0a9111,51ea1a4c06736c4b8144a047f236e6c515f7ee3da40f03e6ff8ed69089ed5881,5bb48cfa534000f16d0cef0d0335259a0aebb1b2f6c6398f2593ad2102be8dd8,6402822e6c7224e0c33ae040f4c2588f6e7bd4d41c2c716b0a0772ec2bbebfa6,0.7444444444444446,0.8066666666666669,0.8126984126984128,0.986605314462838,0.9324603174603172,0.7222222222222221,0.8111111111111111,0.8346560846560848,0.9830084437237486,0.9250000000000002
