dataset,model,seed,n_test,positive_rate,majority_accuracy,accuracy,balanced_accuracy,f1,auroc,average_precision,ece
adult,logreg,0,14653,0.23926840919948134,0.7607315908005187,0.8524534225073364,0.7641097620345156,0.6585596967782691,0.9034324835288577,0.7611007240714349,0.008536429528820534
adult,rf,0,14653,0.23926840919948134,0.7607315908005187,0.8598921722514161,0.7558017011783258,0.6551318662859063,0.911660301572754,0.7938848287789886,0.031608802522837334
adult,hgb,0,14653,0.23926840919948134,0.7607315908005187,0.8705384562888145,0.7914420605699153,0.7028043239855867,0.9266584405843171,0.8250344767912674,0.009458071601792573
adult,logreg,1,14653,0.23926840919948134,0.7607315908005187,0.8545690302327168,0.7739074196506153,0.6707863432720531,0.9068943877163812,0.7680776990343939,0.008803662630686049
adult,rf,1,14653,0.23926840919948134,0.7607315908005187,0.8642598785231693,0.7686436984239708,0.6735598227474151,0.915929009368195,0.8007142055382612,0.03599596465351656
adult,hgb,1,14653,0.23926840919948134,0.7607315908005187,0.8772947519279328,0.8087867133255421,0.7254123396456933,0.9295751235204528,0.8337667881659154,0.009866910955120956
adult,logreg,2,14653,0.23926840919948134,0.7607315908005187,0.8482222070565755,0.7596668664378348,0.650314465408805,0.9059714162615848,0.762085010998237,0.012894661945078618
adult,rf,2,14653,0.23926840919948134,0.7607315908005187,0.8588002456834778,0.7557683221130715,0.6541868627778706,0.9154324941733125,0.7939647424495709,0.034630747803651656
adult,hgb,2,14653,0.23926840919948134,0.7607315908005187,0.8684910939739302,0.7902919221229178,0.6997039114851177,0.9291074583800543,0.8272418761851624,0.010417709606770655
adult,logreg,3,14653,0.23926840919948134,0.7607315908005187,0.8490411519825292,0.7594230674851774,0.6506632975363235,0.9050233945155779,0.7613740140671286,0.01071061062809622
adult,rf,3,14653,0.23926840919948134,0.7607315908005187,0.8594144543779431,0.7572473511811839,0.6564376250833889,0.9145219327197794,0.795879920034519,0.03229473408242049
adult,hgb,3,14653,0.23926840919948134,0.7607315908005187,0.8704702108783184,0.795698537477513,0.7067367119901112,0.9289047787511711,0.8284736574060246,0.008399839845172802
adult,logreg,4,14653,0.23926840919948134,0.7607315908005187,0.8499283423189791,0.7593218811965248,0.6512291831879461,0.9031520175003024,0.7620438592018278,0.007395286986635258
adult,rf,4,14653,0.23926840919948134,0.7607315908005187,0.8592097181464546,0.7560374528208853,0.6548435670068596,0.9123982488643825,0.7934778150371782,0.03304573258346206
adult,hgb,4,14653,0.23926840919948134,0.7607315908005187,0.869310038899884,0.7944472127418627,0.7044296959407316,0.9255220810768666,0.8222761139736292,0.011003572949675317
bank-marketing,logreg,0,13564,0.1170008846947803,0.8829991153052197,0.901135358301386,0.6586787404276596,0.44746600741656367,0.9080095703280059,0.5573464674402109,0.030005163010073364
bank-marketing,rf,0,13564,0.1170008846947803,0.8829991153052197,0.8985549985255087,0.6041948496222465,0.3365477338476374,0.9267993385137097,0.6072512490082823,0.03497365592236211
bank-marketing,hgb,0,13564,0.1170008846947803,0.8829991153052197,0.9090238867590681,0.7377601335136201,0.5694347522679692,0.935518528765936,0.6251898423952241,0.01129166526678319
bank-marketing,logreg,1,13564,0.1170008846947803,0.8829991153052197,0.9002506635210852,0.6584510934342283,0.44571896763621466,0.9075168700521832,0.5365220020023448,0.031900456880886885
bank-marketing,rf,1,13564,0.1170008846947803,0.8829991153052197,0.9014302565614863,0.6167554973960541,0.36784869976359336,0.9277686664615897,0.6156795246219393,0.033787977407191826
bank-marketing,hgb,1,13564,0.1170008846947803,0.8829991153052197,0.9069595989383663,0.7305783364765664,0.5571929824561404,0.9355616433282463,0.6204943920778974,0.01373798099233085
bank-marketing,logreg,2,13564,0.1170008846947803,0.8829991153052197,0.9018726039516367,0.66374253130304,0.4569563443492452,0.9052684942927,0.550600893088377,0.03060785019674624
bank-marketing,rf,2,13564,0.1170008846947803,0.8829991153052197,0.8995134178708346,0.6115703859829218,0.354334438654666,0.9255776364896824,0.6065024437980949,0.0331360687641048
bank-marketing,hgb,2,13564,0.1170008846947803,0.8829991153052197,0.9094662341492186,0.7276247127515303,0.5589080459770115,0.9334067043749418,0.625217804868819,0.012974973578616425
bank-marketing,logreg,3,13564,0.1170008846947803,0.8829991153052197,0.9003243880861103,0.657126274214193,0.44362139917695476,0.8981658239203378,0.537610942152499,0.028272798833133307
bank-marketing,rf,3,13564,0.1170008846947803,0.8829991153052197,0.9009141846063108,0.618103149709491,0.3701968134957826,0.9234951952384689,0.6020730808895594,0.029192311722660735
bank-marketing,hgb,3,13564,0.1170008846947803,0.8829991153052197,0.9061486287230905,0.7295724966235695,0.5544277213860693,0.9319316549747024,0.6188996112256215,0.014286133772324213
bank-marketing,logreg,4,13564,0.1170008846947803,0.8829991153052197,0.9015777056915364,0.6633022313982497,0.4557684467998369,0.9091881051789086,0.5540605462610622,0.028881467108640833
bank-marketing,rf,4,13564,0.1170008846947803,0.8829991153052197,0.901135358301386,0.6111222470668024,0.354978354978355,0.929393551460926,0.6181624385088882,0.0343491933888421
bank-marketing,hgb,4,13564,0.1170008846947803,0.8829991153052197,0.9082866411088174,0.7400757985045797,0.5704419889502762,0.9381893956695724,0.6269554689909465,0.010332535111898149
electricity,logreg,0,13594,0.42452552596733856,0.5754744740326615,0.7611446226276298,0.7434282162929322,0.6899646710589133,0.8310544023391564,0.7976859769625753,0.019025062165860692
electricity,rf,0,13594,0.42452552596733856,0.5754744740326615,0.8461085773135206,0.8354979772200891,0.8084950567557672,0.9308478017570031,0.9099317738384876,0.07277149032782781
electricity,hgb,0,13594,0.42452552596733856,0.5754744740326615,0.9041488892158305,0.9016071400211396,0.8868432479374728,0.9679238270633095,0.9583976613424104,0.04369451370611418
electricity,logreg,1,13594,0.42452552596733856,0.5754744740326615,0.7594526997204649,0.7414582200586699,0.6871412169919633,0.8255036106537793,0.7938193481280076,0.017713749402703823
electricity,rf,1,13594,0.42452552596733856,0.5754744740326615,0.8473591290275121,0.8373344748311017,0.8108994805431514,0.9270770581652417,0.907706952209327,0.0653212343107507
electricity,hgb,1,13594,0.42452552596733856,0.5754744740326615,0.9012064145946741,0.8984369741082887,0.8832275454308322,0.9667162149527628,0.9566543311904833,0.039343046082070524
electricity,logreg,2,13594,0.42452552596733856,0.5754744740326615,0.7570987200235398,0.7404356387676546,0.6877246075278987,0.8256211833586423,0.7920092219446302,0.013299229567487431
electricity,rf,2,13594,0.42452552596733856,0.5754744740326615,0.8429454170957775,0.8333178208833887,0.8062085867295997,0.926818810206312,0.9060343761192995,0.06615396638023045
electricity,hgb,2,13594,0.42452552596733856,0.5754744740326615,0.9010592908636162,0.8989454738418119,0.8836404533264123,0.9663127731203635,0.9551613836008926,0.041648630166649686
electricity,logreg,3,13594,0.42452552596733856,0.5754744740326615,0.7603354421068118,0.7415206833268901,0.6860666795143573,0.8278275321828146,0.7975112286620094,0.013668937211784134
electricity,rf,3,13594,0.42452552596733856,0.5754744740326615,0.8428718552302487,0.8323448668804756,0.8047174986286341,0.9293895059450079,0.9091839133596092,0.06891864732630654
electricity,hgb,3,13594,0.42452552596733856,0.5754744740326615,0.9045902604090039,0.9016497346540431,0.8870110636815054,0.9679180237383898,0.9587960004842957,0.04551695837986041
electricity,logreg,4,13594,0.42452552596733856,0.5754744740326615,0.7619538031484479,0.744813051314483,0.6924539061015016,0.8279272297609209,0.8017505133850094,0.01769146802794952
electricity,rf,4,13594,0.42452552596733856,0.5754744740326615,0.8438281594821244,0.8345847620236975,0.8078559145624038,0.9280898048140264,0.9089714849686762,0.06317969724742074
electricity,hgb,4,13594,0.42452552596733856,0.5754744740326615,0.9003972340738561,0.8984384249395186,0.8830136512873682,0.9667778143672737,0.9567496017420868,0.04090601872174765
