dataset,model,scenario,method,explanation_first,monitor,first_alert,explanation_before_monitor,same_as_monitor,after_monitor
adult,hgb,gradual,lime,1,feature_ks_alert,1,False,True,False
adult,hgb,gradual,lime,1,prediction_ks_alert,1,False,True,False
adult,hgb,gradual,pi,3,feature_ks_alert,1,False,False,True
adult,hgb,gradual,pi,3,prediction_ks_alert,1,False,False,True
adult,hgb,gradual,shap,1,feature_ks_alert,1,False,True,False
adult,hgb,gradual,shap,1,prediction_ks_alert,1,False,True,False
adult,hgb,mean_shift,lime,1,feature_ks_alert,1,False,True,False
adult,hgb,mean_shift,lime,1,prediction_ks_alert,1,False,True,False
adult,hgb,mean_shift,pi,2,feature_ks_alert,1,False,False,True
adult,hgb,mean_shift,pi,2,prediction_ks_alert,1,False,False,True
adult,hgb,mean_shift,shap,1,feature_ks_alert,1,False,True,False
adult,hgb,mean_shift,shap,1,prediction_ks_alert,1,False,True,False
adult,hgb,missing,lime,1,feature_ks_alert,1,False,True,False
adult,hgb,missing,lime,1,prediction_ks_alert,2,True,False,False
adult,hgb,missing,pi,6,feature_ks_alert,1,False,False,True
adult,hgb,missing,pi,6,prediction_ks_alert,2,False,False,True
adult,hgb,missing,shap,3,feature_ks_alert,1,False,False,True
adult,hgb,missing,shap,3,prediction_ks_alert,2,False,False,True
adult,hgb,noise,lime,1,feature_ks_alert,1,False,True,False
adult,hgb,noise,lime,1,prediction_ks_alert,1,False,True,False
adult,hgb,noise,pi,3,feature_ks_alert,1,False,False,True
adult,hgb,noise,pi,3,prediction_ks_alert,1,False,False,True
adult,hgb,noise,shap,1,feature_ks_alert,1,False,True,False
adult,hgb,noise,shap,1,prediction_ks_alert,1,False,True,False
adult,hgb,quantize,lime,1,feature_ks_alert,1,False,True,False
adult,hgb,quantize,lime,1,prediction_ks_alert,1,False,True,False
adult,hgb,quantize,pi,4,feature_ks_alert,1,False,False,True
adult,hgb,quantize,pi,4,prediction_ks_alert,1,False,False,True
