dataset,model,scenario,method,sev_idx,top5_instability_seed_mean
adult,hgb,gradual,lime,1,0.2613333333333332
adult,hgb,gradual,lime,2,0.33599999999999997
adult,hgb,gradual,lime,3,0.376
adult,hgb,gradual,lime,4,0.3959999999999999
adult,hgb,gradual,lime,5,0.43600000000000005
adult,hgb,gradual,pi,1,0.08000000000000007
adult,hgb,gradual,pi,2,0.11999999999999988
adult,hgb,gradual,pi,3,0.28
adult,hgb,gradual,pi,4,0.4
adult,hgb,gradual,pi,5,0.19999999999999996
adult,hgb,gradual,shap,1,0.15500000000000003
adult,hgb,gradual,shap,2,0.18119999999999992
adult,hgb,gradual,shap,3,0.20720000000000005
adult,hgb,gradual,shap,4,0.21040000000000003
adult,hgb,gradual,shap,5,0.22019999999999995
adult,hgb,mean_shift,lime,1,0.2533333333333332
adult,hgb,mean_shift,lime,2,0.32133333333333314
adult,hgb,mean_shift,lime,3,0.3959999999999999
adult,hgb,mean_shift,lime,4,0.42000000000000004
adult,hgb,mean_shift,lime,5,0.46533333333333327
adult,hgb,mean_shift,pi,1,0.08000000000000007
adult,hgb,mean_shift,pi,2,0.15999999999999992
adult,hgb,mean_shift,pi,3,0.24
adult,hgb,mean_shift,pi,4,0.4
adult,hgb,mean_shift,pi,5,0.28
adult,hgb,mean_shift,shap,1,0.15259999999999996
adult,hgb,mean_shift,shap,2,0.1721999999999999
adult,hgb,mean_shift,shap,3,0.20839999999999992
adult,hgb,mean_shift,shap,4,0.2128
adult,hgb,mean_shift,shap,5,0.2278
adult,hgb,missing,lime,1,0.04399999999999993
adult,hgb,missing,lime,2,0.06666666666666676
adult,hgb,missing,lime,3,0.11066666666666658
adult,hgb,missing,lime,4,0.11733333333333318
adult,hgb,missing,lime,5,0.1293333333333333
adult,hgb,missing,pi,1,0.0
adult,hgb,missing,pi,2,0.040000000000000036
adult,hgb,missing,pi,3,0.11999999999999988
adult,hgb,missing,pi,4,0.11999999999999988
adult,hgb,missing,pi,5,0.11999999999999988
adult,hgb,missing,shap,1,0.03839999999999999
adult,hgb,missing,shap,2,0.07319999999999993
adult,hgb,missing,shap,3,0.10339999999999994
adult,hgb,missing,shap,4,0.1379999999999999
adult,hgb,missing,shap,5,0.16099999999999992
adult,hgb,noise,lime,1,0.18133333333333324
adult,hgb,noise,lime,2,0.22799999999999976
adult,hgb,noise,lime,3,0.2666666666666664
adult,hgb,noise,lime,4,0.31999999999999984
adult,hgb,noise,lime,5,0.364
adult,hgb,noise,pi,1,0.08000000000000007
adult,hgb,noise,pi,2,0.15999999999999992
adult,hgb,noise,pi,3,0.19999999999999996
adult,hgb,noise,pi,4,0.15999999999999992
adult,hgb,noise,pi,5,0.19999999999999996
adult,hgb,noise,shap,1,0.09819999999999995
adult,hgb,noise,shap,2,0.15359999999999996
adult,hgb,noise,shap,3,0.21319999999999995
adult,hgb,noise,shap,4,0.23840000000000006
adult,hgb,noise,shap,5,0.25760000000000005
adult,hgb,quantize,lime,1,0.1546666666666665
adult,hgb,quantize,lime,2,0.19199999999999984
adult,hgb,quantize,lime,3,0.20533333333333315
adult,hgb,quantize,lime,4,0.2626666666666664
adult,hgb,quantize,lime,5,0.32666666666666644
adult,hgb,quantize,pi,1,0.040000000000000036
adult,hgb,quantize,pi,2,0.040000000000000036
adult,hgb,quantize,pi,3,0.08000000000000007
adult,hgb,quantize,pi,4,0.08000000000000007
adult,hgb,quantize,pi,5,0.28
adult,hgb,quantize,shap,1,0.1309999999999999
adult,hgb,quantize,shap,2,0.16600000000000004
adult,hgb,quantize,shap,3,0.18099999999999983
adult,hgb,quantize,shap,4,0.20379999999999998
adult,hgb,quantize,shap,5,0.28700000000000014
adult,logreg,gradual,lime,1,0.06266666666666665
adult,logreg,gradual,lime,2,0.11199999999999988
adult,logreg,gradual,lime,3,0.16399999999999992
adult,logreg,gradual,lime,4,0.19733333333333314
adult,logreg,gradual,lime,5,0.22933333333333317
adult,logreg,gradual,pi,1,0.0
adult,logreg,gradual,pi,2,0.0
adult,logreg,gradual,pi,3,0.11999999999999988
adult,logreg,gradual,pi,4,0.11999999999999988
adult,logreg,gradual,pi,5,0.15999999999999992
adult,logreg,gradual,shap,1,0.15700000000000003
adult,logreg,gradual,shap,2,0.18059999999999987
adult,logreg,gradual,shap,3,0.19659999999999989
adult,logreg,gradual,shap,4,0.2118
adult,logreg,gradual,shap,5,0.2268
adult,logreg,mean_shift,lime,1,0.06533333333333347
adult,logreg,mean_shift,lime,2,0.09733333333333327
adult,logreg,mean_shift,lime,3,0.17333333333333323
adult,logreg,mean_shift,lime,4,0.21066666666666645
adult,logreg,mean_shift,lime,5,0.2706666666666665
adult,logreg,mean_shift,pi,1,0.0
adult,logreg,mean_shift,pi,2,0.0
adult,logreg,mean_shift,pi,3,0.0
adult,logreg,mean_shift,pi,4,0.0
adult,logreg,mean_shift,pi,5,0.0
adult,logreg,mean_shift,shap,1,0.15739999999999998
adult,logreg,mean_shift,shap,2,0.17039999999999988
adult,logreg,mean_shift,shap,3,0.2006
adult,logreg,mean_shift,shap,4,0.23420000000000007
adult,logreg,mean_shift,shap,5,0.24939999999999996
adult,logreg,missing,lime,1,0.009333333333333194
adult,logreg,missing,lime,2,0.014666666666666495
adult,logreg,missing,lime,3,0.027999999999999914
adult,logreg,missing,lime,4,0.034666666666666734
adult,logreg,missing,lime,5,0.03733333333333333
adult,logreg,missing,pi,1,0.08000000000000007
adult,logreg,missing,pi,2,0.08000000000000007
adult,logreg,missing,pi,3,0.11999999999999988
adult,logreg,missing,pi,4,0.15999999999999992
adult,logreg,missing,pi,5,0.19999999999999996
adult,logreg,missing,shap,1,0.03480000000000005
adult,logreg,missing,shap,2,0.06340000000000001
adult,logreg,missing,shap,3,0.09299999999999997
adult,logreg,missing,shap,4,0.1267999999999999
adult,logreg,missing,shap,5,0.15800000000000003
adult,logreg,noise,lime,1,0.019999999999999907
adult,logreg,noise,lime,2,0.03200000000000003
adult,logreg,noise,lime,3,0.07466666666666666
adult,logreg,noise,lime,4,0.07866666666666666
adult,logreg,noise,lime,5,0.12533333333333319
adult,logreg,noise,pi,1,0.040000000000000036
adult,logreg,noise,pi,2,0.08000000000000007
adult,logreg,noise,pi,3,0.040000000000000036
adult,logreg,noise,pi,4,0.11999999999999988
adult,logreg,noise,pi,5,0.15999999999999992
adult,logreg,noise,shap,1,0.06659999999999999
adult,logreg,noise,shap,2,0.12139999999999984
adult,logreg,noise,shap,3,0.1763999999999999
adult,logreg,noise,shap,4,0.2228000000000001
adult,logreg,noise,shap,5,0.25540000000000007
adult,logreg,quantize,lime,1,0.005333333333333412
adult,logreg,quantize,lime,2,0.017333333333333423
adult,logreg,quantize,lime,3,0.033333333333333215
adult,logreg,quantize,lime,4,0.04266666666666674
adult,logreg,quantize,lime,5,0.08533333333333337
adult,logreg,quantize,pi,1,0.0
adult,logreg,quantize,pi,2,0.0
adult,logreg,quantize,pi,3,0.040000000000000036
adult,logreg,quantize,pi,4,0.08000000000000007
adult,logreg,quantize,pi,5,0.040000000000000036
adult,logreg,quantize,shap,1,0.041000000000000036
adult,logreg,quantize,shap,2,0.06159999999999999
adult,logreg,quantize,shap,3,0.08719999999999994
adult,logreg,quantize,shap,4,0.18179999999999996
adult,logreg,quantize,shap,5,0.2694000000000001
adult,rf,gradual,lime,1,0.1439999999999999
adult,rf,gradual,lime,2,0.23333333333333317
adult,rf,gradual,lime,3,0.2546666666666665
adult,rf,gradual,lime,4,0.2959999999999998
adult,rf,gradual,lime,5,0.32666666666666644
adult,rf,gradual,pi,1,0.0
adult,rf,gradual,pi,2,0.11999999999999988
adult,rf,gradual,pi,3,0.15999999999999992
adult,rf,gradual,pi,4,0.36
adult,rf,gradual,pi,5,0.36
adult,rf,gradual,shap,1,0.10019999999999984
adult,rf,gradual,shap,2,0.15159999999999996
adult,rf,gradual,shap,3,0.2358
adult,rf,gradual,shap,4,0.23840000000000006
adult,rf,gradual,shap,5,0.24119999999999997
adult,rf,mean_shift,lime,1,0.12399999999999989
adult,rf,mean_shift,lime,2,0.20266666666666644
adult,rf,mean_shift,lime,3,0.3026666666666664
adult,rf,mean_shift,lime,4,0.31866666666666643
adult,rf,mean_shift,lime,5,0.3613333333333333
adult,rf,mean_shift,pi,1,0.0
adult,rf,mean_shift,pi,2,0.11999999999999988
adult,rf,mean_shift,pi,3,0.31999999999999995
adult,rf,mean_shift,pi,4,0.36
adult,rf,mean_shift,pi,5,0.4
adult,rf,mean_shift,shap,1,0.09759999999999991
adult,rf,mean_shift,shap,2,0.13740000000000008
adult,rf,mean_shift,shap,3,0.23659999999999992
adult,rf,mean_shift,shap,4,0.2116
adult,rf,mean_shift,shap,5,0.2106
adult,rf,missing,lime,1,0.022666666666666613
adult,rf,missing,lime,2,0.041333333333333444
adult,rf,missing,lime,3,0.06400000000000006
adult,rf,missing,lime,4,0.06266666666666665
adult,rf,missing,lime,5,0.09199999999999997
adult,rf,missing,pi,1,0.040000000000000036
adult,rf,missing,pi,2,0.15999999999999992
adult,rf,missing,pi,3,0.15999999999999992
adult,rf,missing,pi,4,0.19999999999999996
