dataset,model,scenario,method,monitor,explanation_first,first_alert
adult,logreg,mean_shift,lime,feature_ks_alert,3,1
adult,logreg,noise,lime,feature_ks_alert,5,1
adult,logreg,missing,lime,feature_ks_alert,6,1
adult,logreg,quantize,lime,feature_ks_alert,6,1
adult,logreg,gradual,lime,feature_ks_alert,2,1
adult,rf,mean_shift,lime,feature_ks_alert,1,1
adult,rf,noise,lime,feature_ks_alert,2,1
adult,rf,missing,lime,feature_ks_alert,6,1
adult,rf,quantize,lime,feature_ks_alert,4,1
adult,rf,gradual,lime,feature_ks_alert,1,1
adult,hgb,mean_shift,lime,feature_ks_alert,1,1
adult,hgb,noise,lime,feature_ks_alert,1,1
adult,hgb,missing,lime,feature_ks_alert,3,1
adult,hgb,quantize,lime,feature_ks_alert,1,1
adult,hgb,gradual,lime,feature_ks_alert,1,1
bank-marketing,logreg,mean_shift,lime,feature_ks_alert,5,1
bank-marketing,logreg,noise,lime,feature_ks_alert,6,1
bank-marketing,logreg,missing,lime,feature_ks_alert,6,1
bank-marketing,logreg,quantize,lime,feature_ks_alert,6,1
bank-marketing,logreg,gradual,lime,feature_ks_alert,6,1
bank-marketing,rf,mean_shift,lime,feature_ks_alert,2,1
bank-marketing,rf,noise,lime,feature_ks_alert,3,1
bank-marketing,rf,missing,lime,feature_ks_alert,5,1
bank-marketing,rf,quantize,lime,feature_ks_alert,4,1
bank-marketing,rf,gradual,lime,feature_ks_alert,2,1
bank-marketing,hgb,mean_shift,lime,feature_ks_alert,1,1
bank-marketing,hgb,noise,lime,feature_ks_alert,1,1
bank-marketing,hgb,missing,lime,feature_ks_alert,3,1
bank-marketing,hgb,quantize,lime,feature_ks_alert,3,1
bank-marketing,hgb,gradual,lime,feature_ks_alert,1,1
electricity,logreg,mean_shift,lime,feature_ks_alert,4,1
electricity,logreg,noise,lime,feature_ks_alert,6,1
electricity,logreg,missing,lime,feature_ks_alert,6,1
electricity,logreg,quantize,lime,feature_ks_alert,6,1
electricity,logreg,gradual,lime,feature_ks_alert,5,1
electricity,rf,mean_shift,lime,feature_ks_alert,1,1
electricity,rf,noise,lime,feature_ks_alert,2,1
electricity,rf,missing,lime,feature_ks_alert,4,1
electricity,rf,quantize,lime,feature_ks_alert,4,1
electricity,rf,gradual,lime,feature_ks_alert,1,1
electricity,hgb,mean_shift,lime,feature_ks_alert,1,1
electricity,hgb,noise,lime,feature_ks_alert,1,1
electricity,hgb,missing,lime,feature_ks_alert,3,1
electricity,hgb,quantize,lime,feature_ks_alert,2,1
electricity,hgb,gradual,lime,feature_ks_alert,1,1
adult,logreg,mean_shift,lime,prediction_ks_alert,3,1
adult,logreg,noise,lime,prediction_ks_alert,5,3
adult,logreg,missing,lime,prediction_ks_alert,6,2
adult,logreg,quantize,lime,prediction_ks_alert,6,2
