window,model,mode,explanation_instability,explanation_instability_abs_sensitivity,importance_norm,importance_zero,previous_importance_zero,instability_status,abs_instability_status,top_feature,event_strength
0,logistic,rolling,,,0.22533855519843096,False,,no_previous,no_previous,atemp,0.0539702237459329
0,logistic,static_reference,,,0.22533855519843096,False,,no_previous,no_previous,atemp,0.0539702237459329
0,random_forest,rolling,,,0.19175025845108407,False,,no_previous,no_previous,atemp,0.0539702237459329
0,random_forest,static_reference,,,0.19175025845108407,False,,no_previous,no_previous,atemp,0.0539702237459329
0,hgb,rolling,,,0.24444661889830757,False,,no_previous,no_previous,atemp,0.0539702237459329
0,hgb,static_reference,,,0.24444661889830757,False,,no_previous,no_previous,atemp,0.0539702237459329
1,logistic,rolling,0.1361598648247344,0.13626822721651266,0.060814420281042246,False,False,regular,regular,atemp,0.7092078833384693
1,logistic,static_reference,0.08256649391239368,0.08182121728061087,0.05777001464415553,False,False,regular,regular,temp,0.7092078833384693
1,random_forest,rolling,0.014525504132705258,0.011096868318106967,0.08010147515929196,False,False,regular,regular,atemp,0.7092078833384693
1,random_forest,static_reference,0.05999357842148467,0.027844344597492077,0.0951527613538675,False,False,regular,regular,atemp,0.7092078833384693
1,hgb,rolling,0.14578630922782543,0.13355505740052087,0.05864472812893752,False,False,regular,regular,atemp,0.7092078833384693
1,hgb,static_reference,0.13156146931427914,0.11799306832759449,0.064004599500693,False,False,regular,regular,atemp,0.7092078833384693
2,logistic,rolling,0.040162639756968876,0.04549517790348223,0.020021621714099776,False,False,regular,regular,weathersit,1.6285070387195226
2,logistic,static_reference,0.31578686878686124,0.31652230713641283,0.01391870819003651,False,False,regular,regular,hum,1.6285070387195226
2,random_forest,rolling,0.5154912260322901,0.5046056701131462,0.013617470658381897,False,False,regular,regular,hum,1.6285070387195226
2,random_forest,static_reference,0.07149715312739069,0.06865085805324844,0.01834414616631812,False,False,regular,regular,atemp,1.6285070387195226
2,hgb,rolling,0.35583693101116354,0.24959630148184075,0.01839021886420759,False,False,regular,regular,hum,1.6285070387195226
