window,start_date,end_date,model,mode,event_strength,accuracy,f1,average_precision,auroc,explanation_instability,explanation_instability_abs_sensitivity,importance_norm,importance_zero,previous_importance_zero,instability_status,abs_instability_status,top_feature
0,2012-01-01,2012-02-29,logistic,rolling,0.0539702237459329,0.6,0.0,0.9287011308464397,0.9490740740740741,,,0.22533855519843096,False,,no_previous,no_previous,atemp
0,2012-01-01,2012-02-29,logistic,static_reference,0.0539702237459329,0.6,0.0,0.9287011308464397,0.9490740740740741,,,0.22533855519843096,False,,no_previous,no_previous,atemp
0,2012-01-01,2012-02-29,random_forest,rolling,0.0539702237459329,0.6,0.0,0.6984717935027706,0.7233796296296295,,,0.19175025845108407,False,,no_previous,no_previous,atemp
0,2012-01-01,2012-02-29,random_forest,static_reference,0.0539702237459329,0.6,0.0,0.6984717935027706,0.7233796296296295,,,0.19175025845108407,False,,no_previous,no_previous,atemp
0,2012-01-01,2012-02-29,hgb,rolling,0.0539702237459329,0.6,0.0,0.6273778505030156,0.6701388888888888,,,0.24444661889830757,False,,no_previous,no_previous,atemp
0,2012-01-01,2012-02-29,hgb,static_reference,0.0539702237459329,0.6,0.0,0.6273778505030156,0.6701388888888888,,,0.24444661889830757,False,,no_previous,no_previous,atemp
1,2012-01-31,2012-03-30,logistic,rolling,0.7092078833384693,0.45,0.4,0.9485559641087301,0.9028727770177839,0.1361598648247344,0.13626822721651266,0.060814420281042246,False,False,regular,regular,atemp
1,2012-01-31,2012-03-30,logistic,static_reference,0.7092078833384693,0.36666666666666664,0.20833333333333334,0.9472691182528976,0.9192886456908345,0.08256649391239368,0.08182121728061087,0.05777001464415553,False,False,regular,regular,temp
1,2012-01-31,2012-03-30,random_forest,rolling,0.7092078833384693,0.45,0.37735849056603776,0.9088770066902645,0.8105335157318742,0.014525504132705258,0.011096868318106967,0.08010147515929196,False,False,regular,regular,atemp
1,2012-01-31,2012-03-30,random_forest,static_reference,0.7092078833384693,0.4,0.28,0.9182590415938294,0.8009575923392613,0.05999357842148467,0.027844344597492077,0.0951527613538675,False,False,regular,regular,atemp
1,2012-01-31,2012-03-30,hgb,rolling,0.7092078833384693,0.36666666666666664,0.24,0.8870164046916718,0.811217510259918,0.14578630922782543,0.13355505740052087,0.05864472812893752,False,False,regular,regular,atemp
1,2012-01-31,2012-03-30,hgb,static_reference,0.7092078833384693,0.35,0.1702127659574468,0.8755449717095878,0.7291381668946648,0.13156146931427914,0.11799306832759449,0.064004599500693,False,False,regular,regular,atemp
2,2012-03-01,2012-04-29,logistic,rolling,1.6285070387195226,0.65,0.7586206896551724,0.9892050720495571,0.9135802469135803,0.040162639756968876,0.04549517790348223,0.020021621714099776,False,False,regular,regular,weathersit
2,2012-03-01,2012-04-29,logistic,static_reference,1.6285070387195226,0.5,0.6153846153846154,0.9849962813246641,0.8858024691358025,0.31578686878686124,0.31652230713641283,0.01391870819003651,False,False,regular,regular,hum
2,2012-03-01,2012-04-29,random_forest,rolling,1.6285070387195226,0.5166666666666667,0.6329113924050633,0.9791057293682064,0.845679012345679,0.5154912260322901,0.5046056701131462,0.013617470658381897,False,False,regular,regular,hum
2,2012-03-01,2012-04-29,random_forest,static_reference,1.6285070387195226,0.43333333333333335,0.5405405405405406,0.9792125384115514,0.8456790123456791,0.07149715312739069,0.06865085805324844,0.01834414616631812,False,False,regular,regular,atemp
2,2012-03-01,2012-04-29,hgb,rolling,1.6285070387195226,0.4166666666666667,0.5333333333333333,0.9746387694874514,0.8518518518518519,0.35583693101116354,0.24959630148184075,0.01839021886420759,False,False,regular,regular,hum
2,2012-03-01,2012-04-29,hgb,static_reference,1.6285070387195226,0.38333333333333336,0.4788732394366197,0.9758995014882348,0.8333333333333334,0.2540346799407567,0.2623380124597341,0.015767338092009205,False,False,regular,regular,atemp
3,2012-03-31,2012-05-29,logistic,rolling,1.805149678053845,0.8833333333333333,0.9357798165137615,0.995201250869937,0.9181286549707603,0.37286034569693205,0.18347142431246755,0.010532394077151678,False,False,regular,regular,hum
3,2012-03-31,2012-05-29,logistic,static_reference,1.805149678053845,0.8166666666666667,0.8952380952380953,0.9926604810447837,0.8830409356725146,0.13746784490316344,0.12124692174633944,0.008808426107004021,False,False,regular,regular,hum
3,2012-03-31,2012-05-29,random_forest,rolling,1.805149678053845,0.7333333333333333,0.84,0.9907360595912762,0.8596491228070176,0.2578851267605947,0.26101983945701346,0.00543948239415954,False,False,regular,regular,weathersit
3,2012-03-31,2012-05-29,random_forest,static_reference,1.805149678053845,0.7166666666666667,0.8282828282828283,0.986168532188832,0.8070175438596492,0.548056203557785,0.3626110213606688,0.004010816017140282,False,False,regular,regular,weathersit
3,2012-03-31,2012-05-29,hgb,rolling,1.805149678053845,0.8166666666666667,0.8952380952380953,0.9932566933231453,0.888888888888889,0.4321663187586321,0.2079004619777145,0.0077352049541817855,False,False,regular,regular,weathersit
3,2012-03-31,2012-05-29,hgb,static_reference,1.805149678053845,0.7166666666666667,0.8282828282828283,0.9891401859946287,0.8421052631578948,0.3416123264944463,0.0646091809346333,0.007215610756979667,False,False,regular,regular,hum
4,2012-04-30,2012-06-28,logistic,rolling,1.9037759045487475,0.9833333333333333,0.9915966386554622,0.9997175141242935,0.9830508474576272,0.181302406697061,0.06780461547007854,0.00541723706118703,False,False,regular,regular,hum
4,2012-04-30,2012-06-28,logistic,static_reference,1.9037759045487475,0.9666666666666667,0.9830508474576272,0.998840660031042,0.9322033898305084,0.3802687310684274,0.10728665359570777,0.001985940704234069,False,False,regular,regular,temp
4,2012-04-30,2012-06-28,random_forest,rolling,1.9037759045487475,0.9833333333333333,0.9915966386554622,0.9997175141242938,0.9830508474576272,0.15954293622961946,0.30846480788952024,0.006628534580015635,False,False,regular,regular,weathersit
4,2012-04-30,2012-06-28,random_forest,static_reference,1.9037759045487475,0.9666666666666667,0.9830508474576272,0.998840660031042,0.9322033898305084,0.046296476656896735,0.2079760241181784,0.0029615228600603782,False,False,regular,regular,weathersit
4,2012-04-30,2012-06-28,hgb,rolling,1.9037759045487475,0.9833333333333333,0.9915966386554622,0.9994302403523889,0.9661016949152542,0.3786894229055682,0.49842281885634776,0.017254097129983013,False,False,regular,regular,hum
4,2012-04-30,2012-06-28,hgb,static_reference,1.9037759045487475,0.9666666666666667,0.9830508474576272,0.998840660031042,0.9322033898305084,0.25345759510022925,0.35175072608970726,0.0030030390205934153,False,False,regular,regular,windspeed
5,2012-05-30,2012-07-28,logistic,rolling,1.6715583657310717,0.9833333333333333,0.9915966386554622,1.0,,1.0,1.0,0.0,True,False,one_zero,one_zero,
