dataset,model,window,seed,method,acc,ece,mean_conf,expl_time_s,n_window,n_explained,reference_window,window_hash,subsample_hash,dataset_fingerprint,cache_schema,seed_policy_version,lime_sampling_space,lime_pairing,pi_pairing,config_hash,source_hash,host,top3,top5,spearman,cosine,sign
electricity-temporal,hgb,1,0,lime,0.7783732660781841,0.1909614023420525,0.9626526665559052,1.1314373999994132,3172,30,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,356589cf4b4cef6a0f788baf7dec4b485da691492597466726987e90ca7ad0dd,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0,1.0
electricity-temporal,hgb,1,0,pi,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.3302491000013106,3172,100,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,356589cf4b4cef6a0f788baf7dec4b485da691492597466726987e90ca7ad0dd,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0000000000000002,1.0
electricity-temporal,hgb,1,0,shap,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.5319063000006281,3172,100,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,356589cf4b4cef6a0f788baf7dec4b485da691492597466726987e90ca7ad0dd,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0,1.0
electricity-temporal,hgb,1,1,lime,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.9101451999995334,3172,30,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,bc9952e0146c6ea7b53a01020f18913daa231952301b3fbb133c6f2bedb9950f,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0000000000000002,1.0
electricity-temporal,hgb,1,1,pi,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.2665612000000692,3172,100,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,bc9952e0146c6ea7b53a01020f18913daa231952301b3fbb133c6f2bedb9950f,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0,1.0
electricity-temporal,hgb,1,1,shap,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.409488200000851,3172,100,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,bc9952e0146c6ea7b53a01020f18913daa231952301b3fbb133c6f2bedb9950f,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0,1.0
electricity-temporal,hgb,1,2,lime,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.8361818000012136,3172,30,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,0ac915b5a77b9152e397095e02d6f0212b2e88d2ff4c9a384db6d9c2587bf82e,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0,1.0
electricity-temporal,hgb,1,2,pi,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.2190032999988034,3172,100,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,0ac915b5a77b9152e397095e02d6f0212b2e88d2ff4c9a384db6d9c2587bf82e,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0,1.0
electricity-temporal,hgb,1,2,shap,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.3023678999998083,3172,100,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,0ac915b5a77b9152e397095e02d6f0212b2e88d2ff4c9a384db6d9c2587bf82e,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0,1.0
electricity-temporal,hgb,1,3,lime,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.7735904999990453,3172,30,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,b46da9946cbf1b0780b65312c5195325b56ed6bfe881ae4604489dbaaa4bfc4e,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0,1.0
