dataset,model,scenario,severity,seed,method,acc,flip,dconf,ece,mean_conf,stable_frac,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable,expl_time_s
adult,logreg,baseline,0.0,0,shap,0.8524534225073364,0.0,0.0,0.0085364295288205,0.8558282934545165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
adult,logreg,baseline,0.0,0,lime,0.8524534225073364,0.0,0.0,0.0085364295288205,0.8558282934545165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
adult,logreg,baseline,0.0,0,pi,0.8524534225073364,0.0,0.0,0.0085364295288205,0.8558282934545165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
adult,logreg,mean_shift,0.25,0,shap,0.8245410496144134,0.1169043881798949,0.0918727464150554,0.0905584063706768,0.8310995536597023,0.89,0.9016666666666666,0.8480000000000001,0.8292747252747253,0.9318021757263768,0.8828901515151515,0.9176029962546816,0.847191011235955,0.8330411161871836,0.930214612365558,0.8852343661332426,0.7220797538757324
adult,logreg,mean_shift,0.25,0,lime,0.8245410496144134,0.1169043881798949,0.0918727464150554,0.0905584063706768,0.8310995536597023,0.89,0.7333333333333332,0.7000000000000001,0.7982417582417585,0.9203571592989525,0.8804961704961705,0.7051282051282051,0.6846153846153846,0.7820794590025361,0.9118259762184924,0.869453623299777,0.4622805118560791
adult,logreg,mean_shift,0.25,0,pi,0.8245410496144134,0.1169043881798949,0.0918727464150554,0.0905584063706768,0.8310995536597023,0.89,1.0,1.0,1.0,1.0,1.0,,,,,,0.1784377098083496
adult,logreg,mean_shift,0.5,0,shap,0.7595714188220842,0.2430219067767692,0.1931180028410132,0.1918036627966347,0.8255999881486293,0.805,0.7816666666666667,0.8810000000000001,0.6783076923076922,0.765549941355253,0.8370398629148629,0.7639751552795031,0.8881987577639752,0.6919527677291653,0.7587669847098008,0.843055219452735,0.5107712745666504
adult,logreg,mean_shift,0.5,0,lime,0.7595714188220842,0.2430219067767692,0.1931180028410132,0.1918036627966347,0.8255999881486293,0.805,0.7666666666666667,0.6666666666666667,0.8051282051282054,0.9301766605510547,0.8865567765567766,0.7466666666666666,0.6480000000000001,0.7851428571428571,0.9211722095005156,0.8755044955044956,0.4582161903381347
adult,logreg,mean_shift,0.5,0,pi,0.7595714188220842,0.2430219067767692,0.1931180028410132,0.1918036627966347,0.8255999881486293,0.805,1.0,1.0,1.0,1.0,1.0,,,,,,0.1858308315277099
adult,logreg,mean_shift,1.0,0,shap,0.5839077322050092,0.4570395140926773,0.3986985788025152,0.3973842387581366,0.8327781244384299,0.56,0.68,0.8240000000000001,0.5835824175824176,0.4532113195938504,0.8125672799422798,0.6875,0.8232142857142859,0.6105180533751963,0.4656280291148251,0.8153834260977119,0.4210677146911621
adult,logreg,mean_shift,1.0,0,lime,0.5839077322050092,0.4570395140926773,0.3986985788025152,0.3973842387581366,0.8327781244384299,0.56,0.7555555555555556,0.686666666666667,0.8123076923076924,0.9342146966802752,0.9116448366448364,0.7333333333333333,0.67,0.7863736263736264,0.9224770251219648,0.889116439116439,0.3891758918762207
adult,logreg,mean_shift,1.0,0,pi,0.5839077322050092,0.4570395140926773,0.3986985788025152,0.3973842387581366,0.8327781244384299,0.56,1.0,1.0,1.0,0.9999999997931066,1.0,,,,,,0.1583437919616699
adult,logreg,mean_shift,1.5,0,shap,0.3801951818740189,0.6656657339793899,0.5766971267669205,0.5753827867225421,0.8723882412434719,0.355,0.5866666666666667,0.797,0.5358021978021977,0.2681272301433571,0.7893409090909091,0.624413145539906,0.8084507042253519,0.5843367899705929,0.3616883679137623,0.8013205495599861,0.297734260559082
adult,logreg,mean_shift,1.5,0,lime,0.3801951818740189,0.6656657339793899,0.5766971267669205,0.5753827867225421,0.8723882412434719,0.355,0.7222222222222222,0.6800000000000002,0.8336996336996338,0.9348391554324788,0.9247224997224996,0.7083333333333333,0.675,0.7725274725274726,0.8996377164813103,0.8684440559440559,0.4592316150665283
adult,logreg,mean_shift,1.5,0,pi,0.3801951818740189,0.6656657339793899,0.5766971267669205,0.5753827867225421,0.8723882412434719,0.355,1.0,1.0,1.0,0.9999999997931066,1.0,,,,,,0.245906114578247
adult,logreg,mean_shift,2.0,0,shap,0.2658158738824814,0.7804545144339043,0.6922985634733462,0.6909842234289675,0.9373737637157176,0.205,0.54,0.7759999999999999,0.507010989010989,0.1598966637196872,0.7833567821067823,0.6910569105691057,0.7902439024390243,0.5897078531224873,0.3852866212378666,0.8590469151444763,0.4403159618377685
adult,logreg,mean_shift,2.0,0,lime,0.2658158738824814,0.7804545144339043,0.6922985634733462,0.6909842234289675,0.9373737637157176,0.205,0.6888888888888888,0.6266666666666667,0.7534065934065934,0.901090394988007,0.8420425870425869,0.4444444444444444,0.4666666666666666,0.6161172161172163,0.802519668519103,0.8151515151515151,0.3778779506683349
adult,logreg,mean_shift,2.0,0,pi,0.2658158738824814,0.7804545144339043,0.6922985634733462,0.6909842234289675,0.9373737637157176,0.205,1.0,1.0,1.0,1.0,1.0,,,,,,0.1197526454925537
adult,logreg,noise,0.1,0,shap,0.8497918514979867,0.023681157442162,0.0201663181629553,0.0089925266427952,0.856093082193708,0.985,0.8983333333333333,0.927,0.9755164835164836,0.9899072885575771,0.9937162698412698,0.8967851099830795,0.9269035532994924,0.9751882635131366,0.9897744926063662,0.9936205785190556,0.4448087215423584
adult,logreg,noise,0.1,0,lime,0.8497918514979867,0.023681157442162,0.0201663181629553,0.0089925266427952,0.856093082193708,0.985,0.6888888888888888,0.6733333333333335,0.8016117216117217,0.9149878359975472,0.9065282865282864,0.6781609195402298,0.6689655172413795,0.7974990526714665,0.9125932326339532,0.9033051239947792,0.331986665725708
adult,logreg,noise,0.1,0,pi,0.8497918514979867,0.023681157442162,0.0201663181629553,0.0089925266427952,0.856093082193708,0.985,1.0,0.8,0.9824175824175824,0.9998470497593124,1.0,,,,,,0.1110479831695556
adult,logreg,noise,0.25,0,shap,0.8403057394390228,0.0589640346686685,0.0504183809329509,0.0211848582986362,0.8581849399883712,0.925,0.85,0.905,0.9033186813186812,0.9412145659393693,0.9591121933621934,0.8540540540540541,0.904864864864865,0.9088090288090288,0.942319643262412,0.961792246792247,0.3894796371459961
adult,logreg,noise,0.25,0,lime,0.8403057394390228,0.0589640346686685,0.0504183809329509,0.0211848582986362,0.8581849399883712,0.925,0.7333333333333335,0.6666666666666667,0.8118681318681319,0.9272724317407912,0.8952388352388353,0.7037037037037037,0.6592592592592593,0.8036630036630037,0.921775433238746,0.8903327125549348,0.3357608318328857
adult,logreg,noise,0.25,0,pi,0.8403057394390228,0.0589640346686685,0.0504183809329509,0.0211848582986362,0.8581849399883712,0.925,1.0,1.0,0.9736263736263736,0.9993788579834492,1.0,,,,,,0.119230031967163
adult,logreg,noise,0.5,0,shap,0.8123933665460997,0.1148570258650105,0.0980498576615089,0.0616623326156653,0.8646920906166786,0.895,0.77,0.852,0.8242637362637363,0.8273997903049829,0.9286843434343436,0.7746741154562383,0.8525139664804469,0.8282521947326416,0.835730969181991,0.9303360822913896,0.3878235816955566
adult,logreg,noise,0.5,0,lime,0.8123933665460997,0.1148570258650105,0.0980498576615089,0.0616623326156653,0.8646920906166786,0.895,0.7444444444444442,0.6533333333333335,0.7742124542124545,0.9063250119808078,0.8984883634883635,0.728395061728395,0.6444444444444445,0.7619861619861621,0.8995695210582857,0.8936627158849382,0.384446382522583
adult,logreg,noise,0.5,0,pi,0.8123933665460997,0.1148570258650105,0.0980498576615089,0.0616623326156653,0.8646920906166786,0.895,1.0,0.8,0.9428571428571428,0.9940337016497276,1.0,,,,,,0.1286604404449463
adult,logreg,noise,0.75,0,shap,0.793079915375691,0.1546441001842626,0.1398162412726265,0.0943315695807308,0.873260852678,0.86,0.7133333333333333,0.8109999999999999,0.7566373626373627,0.7405289188181908,0.8988816738816741,0.7034883720930233,0.8186046511627908,0.7681829798108868,0.7646831363769675,0.9001623376623378,0.4549553394317627
adult,logreg,noise,0.75,0,lime,0.793079915375691,0.1546441001842626,0.1398162412726265,0.0943315695807308,0.873260852678,0.86,0.6777777777777776,0.6400000000000001,0.7491575091575092,0.9039364356428764,0.8494200244200243,0.6538461538461537,0.6230769230769231,0.7333896872358412,0.895099995290003,0.84379466687159,0.4482719898223877
adult,logreg,noise,0.75,0,pi,0.793079915375691,0.1546441001842626,0.1398162412726265,0.0943315695807308,0.873260852678,0.86,0.6666666666666666,0.8,0.8813186813186813,0.986079029767181,1.0,,,,,,0.2080230712890625
adult,logreg,noise,1.0,0,shap,0.7635296526308606,0.1955231010714529,0.1781543815697816,0.1347557397123007,0.8816182429583392,0.84,0.6716666666666665,0.7730000000000001,0.7264395604395605,0.6631805033969393,0.8938959235209236,0.6666666666666666,0.7678571428571429,0.7451334379905808,0.6932143922167098,0.9004015495086923,0.4376468658447265
adult,logreg,noise,1.0,0,lime,0.7635296526308606,0.1955231010714529,0.1781543815697816,0.1347557397123007,0.8816182429583392,0.84,0.6888888888888888,0.6466666666666667,0.7320146520146521,0.8869755559507464,0.8542757242757241,0.6794871794871794,0.6384615384615384,0.7259509721048184,0.87845184521562,0.8430454161223392,0.337827205657959
adult,logreg,noise,1.0,0,pi,0.7635296526308606,0.1955231010714529,0.1781543815697816,0.1347557397123007,0.8816182429583392,0.84,1.0,0.8,0.7978021978021977,0.9900945292915424,0.8571428571428571,,,,,,0.1378834247589111
